shape	net	shape_bbox	ladder_bbox	status
PATH_11_483	VSS	{20.0000 827.5460} {1189.3360 827.6060}	{19.8 827.476} {20.0 827.676}	attempt
PATH_11_507	VSS	{20.0000 867.6740} {1189.3360 867.7340}	{19.8 867.604} {20.0 867.804}	attempt
PATH_11_531	VSS	{20.0000 907.8020} {1189.3360 907.8620}	{19.8 907.732} {20.0 907.932}	attempt
PATH_11_555	VSS	{20.0000 947.9300} {1189.3360 947.9900}	{19.8 947.86} {20.0 948.06}	attempt
PATH_11_579	VSS	{20.0000 988.0580} {1189.3360 988.1180}	{19.8 987.988} {20.0 988.188}	attempt
PATH_11_603	VSS	{20.0000 1028.1860} {1189.3360 1028.2460}	{19.8 1028.116} {20.0 1028.316}	attempt
PATH_11_627	VSS	{20.0000 1068.3140} {1189.3360 1068.3740}	{19.8 1068.244} {20.0 1068.444}	attempt
