via	net	bbox	via_def	tag
VIA_SA_30978	VSS	{20.0100 827.5210} {20.2400 827.6310}	VIA34SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30979	VSS	{20.0100 827.5210} {20.2400 827.6310}	VIA45SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30980	VSS	{20.0100 827.5210} {20.2400 827.6310}	VIA56SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30981	VSS	{20.0100 827.5210} {20.2400 827.6310}	VIA67SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30982	VSS	{54.8850 867.6490} {55.1150 867.7590}	VIA12SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30983	VSS	{54.8850 867.6490} {55.1150 867.7590}	VIA23SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30984	VSS	{54.8850 867.6490} {55.1150 867.7590}	VIA34SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30985	VSS	{54.8850 867.6490} {55.1150 867.7590}	VIA45SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30986	VSS	{54.8850 867.6490} {55.1150 867.7590}	VIA56SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30987	VSS	{54.8850 867.6490} {55.1150 867.7590}	VIA67SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30988	VSS	{20.0100 907.7770} {20.2400 907.8870}	VIA12SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30989	VSS	{20.0100 907.7770} {20.2400 907.8870}	VIA23SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30990	VSS	{20.0100 907.7770} {20.2400 907.8870}	VIA34SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30991	VSS	{20.0100 907.7770} {20.2400 907.8870}	VIA45SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30992	VSS	{20.0100 907.7770} {20.2400 907.8870}	VIA56SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30993	VSS	{20.0100 907.7770} {20.2400 907.8870}	VIA67SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30994	VSS	{20.0100 947.9050} {20.2400 948.0150}	VIA12SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30995	VSS	{20.0100 947.9050} {20.2400 948.0150}	VIA23SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30996	VSS	{20.0100 947.9050} {20.2400 948.0150}	VIA34SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30997	VSS	{20.0100 947.9050} {20.2400 948.0150}	VIA45SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30998	VSS	{20.0100 947.9050} {20.2400 948.0150}	VIA56SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30999	VSS	{20.0100 947.9050} {20.2400 948.0150}	VIA67SQ_C	pg_m1_m7_ladder_repair
VIA_SA_31000	VSS	{20.0100 988.0330} {20.2400 988.1430}	VIA12SQ_C	pg_m1_m7_ladder_repair
VIA_SA_31001	VSS	{20.0100 988.0330} {20.2400 988.1430}	VIA23SQ_C	pg_m1_m7_ladder_repair
VIA_SA_31002	VSS	{20.0100 988.0330} {20.2400 988.1430}	VIA34SQ_C	pg_m1_m7_ladder_repair
VIA_SA_31003	VSS	{20.0100 988.0330} {20.2400 988.1430}	VIA45SQ_C	pg_m1_m7_ladder_repair
VIA_SA_31004	VSS	{20.0100 988.0330} {20.2400 988.1430}	VIA56SQ_C	pg_m1_m7_ladder_repair
VIA_SA_31005	VSS	{20.0100 988.0330} {20.2400 988.1430}	VIA67SQ_C	pg_m1_m7_ladder_repair
VIA_SA_31006	VSS	{20.0100 1028.1610} {20.2400 1028.2710}	VIA12SQ_C	pg_m1_m7_ladder_repair
VIA_SA_31007	VSS	{20.0100 1028.1610} {20.2400 1028.2710}	VIA23SQ_C	pg_m1_m7_ladder_repair
VIA_SA_31008	VSS	{20.0100 1028.1610} {20.2400 1028.2710}	VIA34SQ_C	pg_m1_m7_ladder_repair
VIA_SA_31009	VSS	{20.0100 1028.1610} {20.2400 1028.2710}	VIA45SQ_C	pg_m1_m7_ladder_repair
VIA_SA_31010	VSS	{20.0100 1028.1610} {20.2400 1028.2710}	VIA56SQ_C	pg_m1_m7_ladder_repair
VIA_SA_31011	VSS	{20.0100 1028.1610} {20.2400 1028.2710}	VIA67SQ_C	pg_m1_m7_ladder_repair
VIA_SA_31012	VSS	{20.0100 1068.2890} {20.2400 1068.3990}	VIA12SQ_C	pg_m1_m7_ladder_repair
VIA_SA_31013	VSS	{20.0100 1068.2890} {20.2400 1068.3990}	VIA23SQ_C	pg_m1_m7_ladder_repair
VIA_SA_31014	VSS	{20.0100 1068.2890} {20.2400 1068.3990}	VIA34SQ_C	pg_m1_m7_ladder_repair
VIA_SA_31015	VSS	{20.0100 1068.2890} {20.2400 1068.3990}	VIA45SQ_C	pg_m1_m7_ladder_repair
VIA_SA_31016	VSS	{20.0100 1068.2890} {20.2400 1068.3990}	VIA56SQ_C	pg_m1_m7_ladder_repair
VIA_SA_31017	VSS	{20.0100 1068.2890} {20.2400 1068.3990}	VIA67SQ_C	pg_m1_m7_ladder_repair
