label	name	class	bbox	ref_name	lib_cell	origin	orientation	physical_status	layer	net	shape_use	via_def	extra
near_shape	PATH_19_6881	shape	{290.5320 646.8200} {313.9960 646.8760}					unrestricted	M5	n68088	detail_route		target_cell=U67529
near_shape	PATH_19_6989	shape	{290.5320 644.3880} {301.2280 644.4440}					unrestricted	M5	n68095	detail_route		target_cell=U67529
near_shape	PATH_17_18326	shape	{295.7000 637.7000} {295.7560 663.2920}					unrestricted	M4	n67518	detail_route		target_cell=U67529
near_shape	PATH_17_18670	shape	{295.0920 639.5240} {295.1480 658.4280}					unrestricted	M4	n67995	detail_route		target_cell=U67529
near_shape	PATH_21_20941	shape	{292.9640 642.5640} {293.0200 657.2120}					unrestricted	M6	ZBUF_717_3066	detail_route		target_cell=U67529
near_shape	PATH_17_26448	shape	{292.9640 643.7800} {293.0200 645.6600}					unrestricted	M4	n67960	detail_route		target_cell=U67529
near_shape	PATH_21_26885	shape	{293.5720 643.1720} {293.6280 644.4440}					unrestricted	M6	eco_net_1467_n22608	detail_route		target_cell=U67529
near_shape	PATH_21_26886	shape	{293.5720 644.3880} {294.8440 644.4440}					unrestricted	M6	eco_net_1467_n22608	detail_route		target_cell=U67529
near_shape	PATH_21_26887	shape	{294.7880 644.3880} {294.8440 659.6440}					unrestricted	M6	eco_net_1467_n22608	detail_route		target_cell=U67529
near_shape	PATH_17_28460	shape	{293.8760 643.1720} {293.9320 647.7880}					unrestricted	M4	n68070	detail_route		target_cell=U67529
near_shape	PATH_11_43099	shape	{294.9430 644.2390} {294.9930 644.4410}					unrestricted	M1	n67626	detail_route		target_cell=U67529
near_shape	PATH_17_65706	shape	{294.4840 646.2120} {294.5400 648.7000}					unrestricted	M4	n140856	detail_route		target_cell=U67529
near_shape	PATH_19_73362	shape	{291.1400 647.4280} {306.3960 647.4840}					unrestricted	M5	ZBUF_58_1649	detail_route		target_cell=U67529
near_shape	PATH_17_92959	shape	{293.5720 645.9080} {293.6280 670.5880}					unrestricted	M4	n150228	detail_route		target_cell=U67529
near_shape	PATH_17_141865	shape	{296.0040 634.0520} {296.0600 651.7400}					unrestricted	M4	ZBUF_7508_1078	detail_route		target_cell=U67529
near_shape	PATH_11_146986	shape	{295.5510 644.3910} {295.9050 644.4410}					unrestricted	M1	eco_net_46_n142165	detail_route		target_cell=U67529
near_shape	PATH_11_146987	shape	{294.0310 644.3910} {294.6890 644.4410}					unrestricted	M1	eco_net_47_ZBUF_129_3333	detail_route		target_cell=U67529
near_shape	PATH_15_186072	shape	{293.7240 645.6040} {298.1880 645.6600}					unrestricted	M3	n67515	detail_route		target_cell=U67529
near_shape	PATH_17_186435	shape	{294.7880 643.1720} {294.8440 656.3000}					unrestricted	M4	ZBUF_2269_3200	detail_route		target_cell=U67529
near_shape	PATH_17_186445	shape	{294.1800 639.5240} {294.2360 669.3720}					unrestricted	M4	ZBUF_314_3200	detail_route		target_cell=U67529
near_shape	PATH_17_188694	shape	{292.9640 647.4280} {293.0200 649.3080}					unrestricted	M4	ZBUF_846_3253	detail_route		target_cell=U67529
near_shape	PATH_15_189672	shape	{282.9320 647.7320} {293.1720 647.7880}					unrestricted	M3	n68036	detail_route		target_cell=U67529
near_shape	PATH_15_190234	shape	{289.1640 645.3000} {296.8200 645.3560}					unrestricted	M3	n67991	detail_route		target_cell=U67529
near_shape	PATH_17_218290	shape	{293.2680 646.8200} {293.3240 661.1640}					unrestricted	M4	eco_net_47_ZBUF_129_3333	detail_route		target_cell=U67529
near_shape	PATH_17_218346	shape	{293.5720 643.1720} {293.6280 644.4440}					unrestricted	M4	eco_net_1467_n22608	detail_route		target_cell=U67529
near_shape	PATH_17_218898	shape	{293.2680 643.4760} {293.3240 645.6600}					unrestricted	M4	eco_net_63_n142165	detail_route		target_cell=U67529
near_shape	PATH_15_220841	shape	{295.5480 645.9080} {296.2120 645.9640}					unrestricted	M3	n67635	detail_route		target_cell=U67529
near_shape	PATH_15_221801	shape	{292.2040 645.6040} {293.0200 645.6600}					unrestricted	M3	n67960	detail_route		target_cell=U67529
near_shape	PATH_15_221999	shape	{293.8760 647.7320} {293.9320 647.9400}					unrestricted	M3	n68070	detail_route		target_cell=U67529
near_shape	PATH_15_363311	shape	{285.8200 647.1240} {293.4760 647.1800}					unrestricted	M3	n140863	detail_route		target_cell=U67529
near_shape	PATH_15_363313	shape	{294.3320 647.1240} {296.9720 647.1800}					unrestricted	M3	n140863	detail_route		target_cell=U67529
near_shape	PATH_15_380827	shape	{294.4840 646.2120} {297.4280 646.2680}					unrestricted	M3	n140856	detail_route		target_cell=U67529
near_shape	PATH_15_380837	shape	{296.1560 647.7320} {297.5800 647.7880}					unrestricted	M3	n140859	detail_route		target_cell=U67529
near_shape	PATH_15_422055	shape	{291.1400 645.9080} {293.4760 645.9640}					unrestricted	M3	n150228	detail_route		target_cell=U67529
near_shape	PATH_15_422056	shape	{293.4200 644.6920} {296.8200 644.7480}					unrestricted	M3	n150228	detail_route		target_cell=U67529
near_shape	PATH_13_426256	shape	{295.7000 647.7320} {295.7560 649.0040}					unrestricted	M2	n67745	detail_route		target_cell=U67529
