label	name	class	bbox	ref_name	lib_cell	origin	orientation	physical_status	layer	net	shape_use	via_def	extra
near_shape	PATH_17_66196	shape	{250.7080 855.9720} {250.7640 857.5480}					unrestricted	M4	n141986	detail_route		target_cell=U77942
near_shape	PATH_17_67405	shape	{252.2260 853.3560} {252.2860 853.5980}					unrestricted	M4	n142703	detail_route		target_cell=U77942
near_shape	PATH_19_68341	shape	{238.5480 855.9720} {249.2440 856.0280}					unrestricted	M5	ZBUF_168_1069	detail_route		target_cell=U77942
near_shape	PATH_19_88699	shape	{251.6200 854.7560} {273.5640 854.8120}					unrestricted	M5	ZBUF_345_3066	detail_route		target_cell=U77942
near_shape	PATH_11_89408	shape	{252.0790 854.4550} {253.1930 854.5050}					unrestricted	M1	ZBUF_2_973	detail_route		target_cell=U77942
near_shape	PATH_19_89859	shape	{246.7560 854.1480} {250.1560 854.2040}					unrestricted	M5	ZBUF_5_3118	detail_route		target_cell=U77942
near_shape	PATH_11_97238	shape	{251.6230 854.6070} {255.1690 854.6570}					unrestricted	M1	ZBUF_20_2520	detail_route		target_cell=U77942
near_shape	PATH_11_108747	shape	{251.7750 855.6710} {255.3210 855.7210}					unrestricted	M1	ZBUF_39_3123	detail_route		target_cell=U77942
near_shape	PATH_17_130016	shape	{251.0120 855.0600} {251.0680 861.5000}					unrestricted	M4	ZBUF_609_91	detail_route		target_cell=U77942
near_shape	PATH_17_130178	shape	{249.7960 847.4600} {249.8520 856.3320}					unrestricted	M4	ZBUF_588_92	detail_route		target_cell=U77942
near_shape	PATH_17_137458	shape	{251.3160 832.8680} {251.3720 856.6360}					unrestricted	M4	ZBUF_2_883	detail_route		target_cell=U77942
near_shape	PATH_17_139404	shape	{249.1880 855.9720} {249.2440 856.9400}					unrestricted	M4	ZBUF_168_1069	detail_route		target_cell=U77942
near_shape	PATH_17_139552	shape	{252.5320 849.8920} {252.5880 897.3720}					unrestricted	M4	ZBUF_120_1074	detail_route		target_cell=U77942
near_shape	PATH_17_147334	shape	{251.6200 851.1080} {251.6760 853.5960}					unrestricted	M4	ZBUF_328_1609	detail_route		target_cell=U77942
near_shape	PATH_17_154799	shape	{248.8840 850.8040} {248.9400 873.0520}					unrestricted	M4	ZBUF_151_2033	detail_route		target_cell=U77942
near_shape	PATH_17_170611	shape	{250.1000 854.7560} {250.1560 876.3960}					unrestricted	M4	ZBUF_72_2920	detail_route		target_cell=U77942
near_shape	PATH_17_170612	shape	{249.4920 755.0440} {249.5480 854.8120}					unrestricted	M4	ZBUF_72_2920	detail_route		target_cell=U77942
near_shape	PATH_17_177693	shape	{251.6200 854.7560} {251.6760 864.5400}					unrestricted	M4	ZBUF_345_3066	detail_route		target_cell=U77942
near_shape	PATH_17_180217	shape	{250.1000 852.6280} {250.1560 854.2040}					unrestricted	M4	ZBUF_5_3118	detail_route		target_cell=U77942
near_shape	PATH_15_180825	shape	{247.3640 854.7560} {253.6520 854.8120}					unrestricted	M3	n61370	detail_route		target_cell=U77942
near_shape	PATH_15_292516	shape	{243.7160 856.8840} {249.0920 856.9400}					unrestricted	M3	n132866	detail_route		target_cell=U77942
near_shape	PATH_15_386688	shape	{252.2280 853.5400} {255.1720 853.5960}					unrestricted	M3	n142703	detail_route		target_cell=U77942
near_shape	PATH_15_388800	shape	{238.0920 856.2760} {249.2440 856.3320}					unrestricted	M3	n143522	detail_route		target_cell=U77942
near_shape	PATH_13_458469	shape	{251.4680 852.9320} {251.5240 854.8120}					unrestricted	M2	n78423	detail_route		target_cell=U77942
near_shape	PATH_15_459159	shape	{237.1800 855.9720} {268.7000 856.0280}					unrestricted	M3	ZBUF_122_75	detail_route		target_cell=U77942
near_shape	PATH_13_471839	shape	{249.6440 849.2840} {249.7000 857.8520}					unrestricted	M2	n82889	detail_route		target_cell=U77942
near_shape	PATH_13_471847	shape	{251.7720 856.7320} {251.8280 858.7640}					unrestricted	M2	n82890	detail_route		target_cell=U77942
near_shape	PATH_15_481176	shape	{244.0200 856.5800} {251.3720 856.6360}					unrestricted	M3	ZBUF_2_883	detail_route		target_cell=U77942
near_shape	PATH_15_491654	shape	{236.1160 854.1480} {257.6040 854.2040}					unrestricted	M3	ZBUF_4119_1069	detail_route		target_cell=U77942
near_shape	PATH_15_491691	shape	{249.1880 856.8840} {254.7160 856.9400}					unrestricted	M3	ZBUF_168_1069	detail_route		target_cell=U77942
near_shape	PATH_15_518713	shape	{247.9720 853.5400} {251.6760 853.5960}					unrestricted	M3	ZBUF_328_1609	detail_route		target_cell=U77942
near_shape	PATH_15_531605	shape	{246.6040 855.6680} {255.0200 855.7240}					unrestricted	M3	ZBUF_417_1724	detail_route		target_cell=U77942
