x	shape	net	y	bbox	object_class	object_type	object_name	object_layer	object_net	object_bbox
45.0	PATH_11_507	VSS	867.704	{44.75 867.454} {45.25 867.954}	signal	via	VIA_S_1151258	VIA34SQ_C	n138015	{45.1770 867.4970} {45.2870 867.6070}
50.0	PATH_11_507	VSS	867.704	{49.75 867.454} {50.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
50.0	PATH_11_507	VSS	867.704	{49.75 867.454} {50.25 867.954}	signal	shape	PATH_17_59569	M4	n138980	{49.7640 850.8040} {49.8200 874.2680}
50.0	PATH_11_507	VSS	867.704	{49.75 867.454} {50.25 867.954}	signal	shape	PATH_17_148059	M4	ZBUF_477_1621	{50.0680 860.2280} {50.1240 869.1000}
50.0	PATH_11_507	VSS	867.704	{49.75 867.454} {50.25 867.954}	signal	shape	PATH_15_371782	M3	n140366	{48.7000 867.8280} {52.8600 867.8840}
50.0	PATH_11_507	VSS	867.704	{49.75 867.454} {50.25 867.954}	signal	shape	PATH_13_453096	M2	n76568	{49.9160 866.9160} {49.9720 868.1880}
50.0	PATH_11_507	VSS	867.704	{49.75 867.454} {50.25 867.954}	signal	shape	PATH_15_606641	M3	ZBUF_179_2956	{49.1560 867.5240} {53.7720 867.5800}
50.0	PATH_11_507	VSS	867.704	{49.75 867.454} {50.25 867.954}	signal	shape	PATH_13_736287	M2	n138887	{49.7640 862.9640} {49.8200 869.7080}
55.0	PATH_11_507	VSS	867.704	{54.75 867.454} {55.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
55.0	PATH_11_507	VSS	867.704	{54.75 867.454} {55.25 867.954}	signal	shape	PATH_21_8121	M6	n139966	{55.2360 852.3240} {55.2920 879.1320}
60.0	PATH_11_507	VSS	867.704	{59.75 867.454} {60.25 867.954}	pg	shape	PATH_13_22	M2	VSS	{59.8000 10.0000} {60.2000 1198.7280}
60.0	PATH_11_507	VSS	867.704	{59.75 867.454} {60.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
60.0	PATH_11_507	VSS	867.704	{59.75 867.454} {60.25 867.954}	pg	via	VIA_SA_8534	VIA78LG_C	VSS	{59.5480 867.5730} {60.4520 868.4270}
60.0	PATH_11_507	VSS	867.704	{59.75 867.454} {60.25 867.954}	pg	via	VIA_SA_8535	VIA23LG_C	VSS	{59.8270 867.5730} {60.1730 868.4270}
60.0	PATH_11_507	VSS	867.704	{59.75 867.454} {60.25 867.954}	pg	via	VIA_SA_8536	VIA34LG_C	VSS	{59.8270 867.5730} {60.1730 868.4270}
60.0	PATH_11_507	VSS	867.704	{59.75 867.454} {60.25 867.954}	pg	via	VIA_SA_8537	VIA45LG_C	VSS	{59.8270 867.5730} {60.1730 868.4270}
60.0	PATH_11_507	VSS	867.704	{59.75 867.454} {60.25 867.954}	pg	via	VIA_SA_8538	VIA56LG_C	VSS	{59.8270 867.5730} {60.1730 868.4270}
60.0	PATH_11_507	VSS	867.704	{59.75 867.454} {60.25 867.954}	pg	via	VIA_SA_8539	VIA67LG_C	VSS	{59.8270 867.5730} {60.1730 868.4270}
65.0	PATH_11_507	VSS	867.704	{64.75 867.454} {65.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
65.0	PATH_11_507	VSS	867.704	{64.75 867.454} {65.25 867.954}	signal	shape	PATH_17_7129	M4	n25284	{64.9640 854.7560} {65.0200 873.0520}
65.0	PATH_11_507	VSS	867.704	{64.75 867.454} {65.25 867.954}	signal	shape	PATH_21_7484	M6	n138891	{64.9640 863.8760} {65.0200 868.1880}
65.0	PATH_11_507	VSS	867.704	{64.75 867.454} {65.25 867.954}	signal	shape	PATH_19_68280	M5	ZBUF_20_1066	{64.3560 867.5240} {91.1640 867.5800}
