id	type_name	error_class	layers	bbox	center	objects	shape	brief_info	verbose_info	status
0	Off-grid	basic	M1	{201.1290 255.6030} {201.2390 255.6630}	201.1840,255.6330	ZBUF_832_2538	{ polygons {{201.1290 255.6030} {201.1290 255.6630} {201.2390 255.6630} {201.2390 255.6030}} } 			error
1	Off-grid	basic	M1	{899.1130 650.4660} {899.2230 650.5260}	899.1680,650.4960	ZBUF_851_152	{ polygons {{899.1130 650.4660} {899.1130 650.5260} {899.2230 650.5260} {899.2230 650.4660}} } 			error
2	Off-grid	basic	M1	{250.0520 855.0630} {250.1530 855.1450}	250.1025,855.1040	n143522	{ polygons {{250.0520 855.0630} {250.0520 855.1450} {250.1530 855.1450} {250.1530 855.0630}} } 			error
