x	shape	net	y	bbox	object_class	object_type	object_name	object_layer	object_net	object_bbox
19.8	PATH_11_483	VSS	827.576	{19.65 827.426} {19.95 827.726}	pg	shape	PATH_23_51	M7	VSS	{10.0000 827.5000} {1199.3360 828.5000}
19.8	PATH_11_507	VSS	867.704	{19.65 867.554} {19.95 867.854}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
19.8	PATH_11_531	VSS	907.832	{19.65 907.682} {19.95 907.982}	pg	shape	PATH_23_55	M7	VSS	{10.0000 907.5000} {1199.3360 908.5000}
19.8	PATH_11_555	VSS	947.96	{19.65 947.81} {19.95 948.11}	pg	shape	PATH_23_57	M7	VSS	{10.0000 947.5000} {1199.3360 948.5000}
19.8	PATH_11_579	VSS	988.088	{19.65 987.938} {19.95 988.238}	pg	shape	PATH_23_59	M7	VSS	{10.0000 987.5000} {1199.3360 988.5000}
19.8	PATH_11_603	VSS	1028.216	{19.65 1028.066} {19.95 1028.366}	pg	shape	PATH_23_61	M7	VSS	{10.0000 1027.5000} {1199.3360 1028.5000}
19.8	PATH_11_627	VSS	1068.344	{19.65 1068.194} {19.95 1068.494}	pg	shape	PATH_23_63	M7	VSS	{10.0000 1067.5000} {1199.3360 1068.5000}
19.9	PATH_11_483	VSS	827.576	{19.75 827.426} {20.05 827.726}	pg	shape	PATH_23_51	M7	VSS	{10.0000 827.5000} {1199.3360 828.5000}
19.9	PATH_11_507	VSS	867.704	{19.75 867.554} {20.05 867.854}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
19.9	PATH_11_531	VSS	907.832	{19.75 907.682} {20.05 907.982}	pg	shape	PATH_23_55	M7	VSS	{10.0000 907.5000} {1199.3360 908.5000}
19.9	PATH_11_555	VSS	947.96	{19.75 947.81} {20.05 948.11}	pg	shape	PATH_23_57	M7	VSS	{10.0000 947.5000} {1199.3360 948.5000}
19.9	PATH_11_579	VSS	988.088	{19.75 987.938} {20.05 988.238}	pg	shape	PATH_23_59	M7	VSS	{10.0000 987.5000} {1199.3360 988.5000}
19.9	PATH_11_603	VSS	1028.216	{19.75 1028.066} {20.05 1028.366}	pg	shape	PATH_23_61	M7	VSS	{10.0000 1027.5000} {1199.3360 1028.5000}
19.9	PATH_11_627	VSS	1068.344	{19.75 1068.194} {20.05 1068.494}	pg	shape	PATH_23_63	M7	VSS	{10.0000 1067.5000} {1199.3360 1068.5000}
20.0	PATH_11_483	VSS	827.576	{19.85 827.426} {20.15 827.726}	pg	shape	PATH_23_51	M7	VSS	{10.0000 827.5000} {1199.3360 828.5000}
