step	target_nets	save_status	total	open_nets	diff_net_spacing	less_than_min_area	needs_fat_contact	off_grid	same_net_spacing	short	connection_not_within_pin
initial	none	no_save	32	13	2	12	0	2	3	12	0
after_step1	ZBUF_1096_2951 ZBUF_3191_3482 eco_net_642_n68350 n137916 n140856 n68003 n68031 n87923 n87924 n87934	no_save	1	7	0	1	0	0	0	0	0
after_step2	n134016	no_save	1	7	0	1	0	0	0	0	0
after_step3	n132862	no_save	0	7	0	0	0	0	0	0	0
final	all	no_save_not_clean	0	7	0	0	0	0	0	0	0
