step	status	path	message
eco_opt_electrical	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/2_Output/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_occ3_from_a20_eopen3/pt_eco_session	
check_routes_after	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_occ3_from_a20_eopen3/check_routes.after_electrical_eco.rpt	
check_legality_after	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_occ3_from_a20_eopen3/check_legality.after_electrical_eco.rpt	
pg_connectivity_after	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_occ3_from_a20_eopen3/pg_connectivity.after_electrical_eco.rpt	
pg_drc_after	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_occ3_from_a20_eopen3/pg_drc.after_electrical_eco.rpt	
qor_after	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_occ3_from_a20_eopen3/qor.after_electrical_eco.rpt	
global_timing_after	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_occ3_from_a20_eopen3/global_timing.after_electrical_eco.rpt	
constraints_after	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_occ3_from_a20_eopen3/constraints.after_electrical_eco.rpt	
constraint_hold_after	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_occ3_from_a20_eopen3/constraint.hold.after_electrical_eco.rpt	
constraint_max_transition_after	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_occ3_from_a20_eopen3/constraint.max_transition.after_electrical_eco.rpt	
constraint_max_capacitance_after	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_occ3_from_a20_eopen3/constraint.max_capacitance.after_electrical_eco.rpt	
timing_max_after	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_occ3_from_a20_eopen3/timing.max.after_electrical_eco.rpt	
timing_min_after	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_occ3_from_a20_eopen3/timing.min.after_electrical_eco.rpt	
reference_after	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_occ3_from_a20_eopen3/reference.after_electrical_eco.rpt	
design_physical_after	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_occ3_from_a20_eopen3/design_physical.after_electrical_eco.rpt	
utilization_after	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_occ3_from_a20_eopen3/utilization.after_electrical_eco.rpt	
