id	type_name	error_class	layers	bbox	center	objects	shape	brief_info	verbose_info	status
0	Off-grid	basic	M1	{294.9430 646.3670} {295.0670 646.4490}	295.0050,646.4080	n68003	{ polygons {{294.9430 646.3670} {294.9430 646.4490} {295.0670 646.4490} {295.0670 646.3670}} } 			error
1	Less than minimum area	basic	M2	{278.9780 699.3850} {279.0380 699.4950}	279.0080,699.4400	n134016	{ polygons {{278.9780 699.3850} {278.9780 699.4950} {279.0380 699.4950} {279.0380 699.3850}} } 			error
2	Less than minimum area	basic	M3	{130.9050 868.4340} {131.0150 868.4940}	130.9600,868.4640	n132862	{ polygons {{130.9050 868.4340} {130.9050 868.4940} {131.0150 868.4940} {131.0150 868.4340}} } 			error
3	Off-grid	basic	M1	{297.2230 957.2120} {297.3650 957.2620}	297.2940,957.2370	n87923	{ polygons {{297.2230 957.2120} {297.2230 957.2620} {297.3650 957.2620} {297.3650 957.2120}} } 			error
