id	type_name	error_class	layers	bbox	center	objects	shape	direction	z_level	brief_info	verbose_info	status
53	Off-grid	basic	M1	{736.0170 903.6980} {736.1270 903.7580}	736.0720,903.7280	n47593	{ polygons {{736.0170 903.6980} {736.0170 903.7580} {736.1270 903.7580} {736.1270 903.6980}} } 					error
54	Off-grid	basic	M1	{733.1540 905.3450} {733.2140 905.4550}	733.1840,905.4000	n47593	{ polygons {{733.1540 905.3450} {733.1540 905.4550} {733.2140 905.4550} {733.2140 905.3450}} } 					error
55	Off-grid	basic	M1	{733.1640 905.3750} {733.2140 905.5770}	733.1890,905.4760	n47593	{ polygons {{733.1640 905.3750} {733.1640 905.5770} {733.2140 905.5770} {733.2140 905.3750}} } 					error
56	Off-grid	basic	M1	{778.8810 908.5620} {778.9910 908.6220}	778.9360,908.5920	n130856	{ polygons {{778.8810 908.5620} {778.8810 908.6220} {778.9910 908.6220} {778.9910 908.5620}} } 					error
57	Diff net spacing	basic	M2	{680.1940 917.1370} {680.2640 917.5270}	680.2290,917.3320	n45742,VDD	{ polygons {{680.1940 917.1370} {680.1940 917.5270} {680.2640 917.5270} {680.2640 917.1370}} } 					error
58	Same net spacing	basic	M2	{680.2020 917.2970} {680.3740 917.3670}	680.2880,917.3320	n45742	{ polygons {{680.2020 917.2970} {680.2020 917.3670} {680.3740 917.3670} {680.3740 917.2970}} } 					error
59	Less than minimum area	basic	M2	{680.2580 917.3530} {680.3180 917.4630}	680.2880,917.4080	n45742	{ polygons {{680.2580 917.3530} {680.2580 917.4630} {680.3180 917.4630} {680.3180 917.3530}} } 					error
60	Off-grid	basic	M1	{575.9610 930.4500} {576.0710 930.5100}	576.0160,930.4800	n131185	{ polygons {{575.9610 930.4500} {575.9610 930.5100} {576.0710 930.5100} {576.0710 930.4500}} } 					error
61	Off-grid	basic	M1	{455.1210 933.7940} {455.2310 933.8540}	455.1760,933.8240	n75327	{ polygons {{455.1210 933.7940} {455.1210 933.8540} {455.2310 933.8540} {455.2310 933.7940}} } 					error
62	Off-grid	basic	M1	{459.0730 935.4660} {459.1830 935.5260}	459.1280,935.4960	n75332	{ polygons {{459.0730 935.4660} {459.0730 935.5260} {459.1830 935.5260} {459.1830 935.4660}} } 					error
63	Off-grid	basic	M1	{439.0090 965.4100} {439.1190 965.4700}	439.0640,965.4400	n73114	{ polygons {{439.0090 965.4100} {439.0090 965.4700} {439.1190 965.4700} {439.1190 965.4100}} } 					error
64	Off-grid	basic	M1	{438.7050 965.5620} {438.8150 965.6220}	438.7600,965.5920	n73115	{ polygons {{438.7050 965.5620} {438.7050 965.6220} {438.8150 965.6220} {438.8150 965.5620}} } 					error
65	Off-grid	basic	M1	{460.8970 963.8900} {461.0070 963.9500}	460.9520,963.9200	n73188	{ polygons {{460.8970 963.8900} {460.8970 963.9500} {461.0070 963.9500} {461.0070 963.8900}} } 					error
66	Off-grid	basic	M2	{705.4810 965.9930} {705.5410 966.1030}	705.5110,966.0480	n45702	{ polygons {{705.4810 965.9930} {705.4810 966.1030} {705.5410 966.1030} {705.5410 965.9930}} } 					error
67	Off-grid	basic	M1	{704.7050 967.2340} {704.8150 967.2940}	704.7600,967.2640	n45702	{ polygons {{704.7050 967.2340} {704.7050 967.2940} {704.8150 967.2940} {704.8150 967.2340}} } 					error
68	Off-grid	basic	M1	{687.3770 987.2980} {687.4870 987.3580}	687.4320,987.3280	ZBUF_410_106	{ polygons {{687.3770 987.2980} {687.3770 987.3580} {687.4870 987.3580} {687.4870 987.2980}} } 					error
69	Off-grid	basic	M1	{840.5930 987.4500} {840.7030 987.5100}	840.6480,987.4800	n32847	{ polygons {{840.5930 987.4500} {840.5930 987.5100} {840.7030 987.5100} {840.7030 987.4500}} } 					error
70	Off-grid	basic	M1	{837.8570 985.4740} {837.9670 985.5340}	837.9120,985.5040	n130911	{ polygons {{837.8570 985.4740} {837.8570 985.5340} {837.9670 985.5340} {837.9670 985.4740}} } 					error
71	Off-grid	basic	M1	{489.3210 1038.9780} {489.4310 1039.0380}	489.3760,1039.0080	n53588	{ polygons {{489.3210 1038.9780} {489.3210 1039.0380} {489.4310 1039.0380} {489.4310 1038.9780}} } 					error
72	Off-grid	basic	M1	{649.9850 1044.1460} {650.0950 1044.2060}	650.0400,1044.1760	n43292	{ polygons {{649.9850 1044.1460} {649.9850 1044.2060} {650.0950 1044.2060} {650.0950 1044.1460}} } 					error
73	Off-grid	basic	M2	{468.4400 1067.5290} {468.5000 1067.6390}	468.4700,1067.5840	n53846	{ polygons {{468.4400 1067.5290} {468.4400 1067.6390} {468.5000 1067.6390} {468.5000 1067.5290}} } 					error
74	Off-grid	basic	M1	{471.8410 1067.5540} {471.9510 1067.6140}	471.8960,1067.5840	n53846	{ polygons {{471.8410 1067.5540} {471.8410 1067.6140} {471.9510 1067.6140} {471.9510 1067.5540}} } 					error
75	Off-grid	basic	M2	{685.5810 1073.0010} {685.6410 1073.1110}	685.6110,1073.0560	n43530	{ polygons {{685.5810 1073.0010} {685.5810 1073.1110} {685.6410 1073.1110} {685.6410 1073.0010}} } 					error
76	Off-grid	basic	M1	{680.8410 1072.4180} {680.9510 1072.4780}	680.8960,1072.4480	n43530	{ polygons {{680.8410 1072.4180} {680.8410 1072.4780} {680.9510 1072.4780} {680.9510 1072.4180}} } 					error
