id	type_name	error_class	layers	bbox	center	objects	shape	brief_info	verbose_info	status
0	Off-grid	basic	M1	{201.5850 255.5700} {201.6950 255.6300}	201.6400,255.6000	ZBUF_832_2538	{ polygons {{201.5850 255.5700} {201.5850 255.6300} {201.6950 255.6300} {201.6950 255.5700}} } 			error
1	Off-grid	basic	M1	{805.4810 332.7860} {805.5910 332.8460}	805.5360,332.8160	n130475	{ polygons {{805.4810 332.7860} {805.4810 332.8460} {805.5910 332.8460} {805.5910 332.7860}} } 			error
2	Off-grid	basic	M1	{906.8650 399.3620} {906.9750 399.4220}	906.9200,399.3920	ZBUF_714_1050	{ polygons {{906.8650 399.3620} {906.8650 399.4220} {906.9750 399.4220} {906.9750 399.3620}} } 			error
3	Off-grid	basic	M1	{359.3610 456.2100} {359.4710 456.2700}	359.4160,456.2400	ZBUF_766_3067	{ polygons {{359.3610 456.2100} {359.3610 456.2700} {359.4710 456.2700} {359.4710 456.2100}} } 			error
4	Off-grid	basic	M1	{899.1130 650.4660} {899.2230 650.5260}	899.1680,650.4960	ZBUF_851_152	{ polygons {{899.1130 650.4660} {899.1130 650.5260} {899.2230 650.5260} {899.2230 650.4660}} } 			error
5	Off-grid	basic	M1	{250.0520 855.0630} {250.1530 855.1450}	250.1025,855.1040	n143522	{ polygons {{250.0520 855.0630} {250.0520 855.1450} {250.1530 855.1450} {250.1530 855.0630}} } 			error
