step	target_nets	save_status	total	open_nets	diff_net_spacing	less_than_min_area	needs_fat_contact	off_grid	same_net_spacing	short	connection_not_within_pin
initial	none	no_save	1	0	0	0	0	1	0	0	0
after_step1	net_PTECO_HOLD_NET95 u_input_fifo/n3861	no_save	0	0	0	0	0	0	0	0	0
after_step2	ZBUF_899_1724	no_save	0	0	0	0	0	0	0	0	0
final	all	saved	0	0	0	0	0	0	0	0	0
