x	shape	net	y	bbox	object_type	object_name	object_layer	object_net	object_bbox
40.0	PATH_11_555	VSS	947.96	{39.75 947.71} {40.25 948.21}	shape	PATH_17_154355	M4	ZBUF_1044_2029	{40.0360 939.5720} {40.0920 949.0520}
40.0	PATH_11_555	VSS	947.96	{39.75 947.71} {40.25 948.21}	shape	PATH_15_177687	M3	n59237	{30.4600 947.7800} {41.1560 947.8360}
40.0	PATH_11_555	VSS	947.96	{39.75 947.71} {40.25 948.21}	shape	PATH_17_184515	M4	ZBUF_69_3280	{39.7320 934.7080} {39.7880 959.3880}
50.0	PATH_11_483	VSS	827.576	{49.75 827.326} {50.25 827.826}	shape	PATH_17_12899	M4	n48799	{49.7640 823.1400} {49.8200 831.1000}
50.0	PATH_11_483	VSS	827.576	{49.75 827.326} {50.25 827.826}	shape	PATH_19_80209	M5	ZBUF_571_2527	{47.6360 827.3960} {53.4680 827.4520}
50.0	PATH_11_483	VSS	827.576	{49.75 827.326} {50.25 827.826}	shape	PATH_17_130108	M4	ZBUF_2843_92	{50.0680 823.1400} {50.1240 836.5720}
50.0	PATH_11_483	VSS	827.576	{49.75 827.326} {50.25 827.826}	shape	PATH_15_163855	M3	n49199	{44.2920 827.3960} {50.4280 827.4520}
50.0	PATH_11_507	VSS	867.704	{49.75 867.454} {50.25 867.954}	shape	PATH_17_59569	M4	n138980	{49.7640 850.8040} {49.8200 874.2680}
50.0	PATH_11_507	VSS	867.704	{49.75 867.454} {50.25 867.954}	shape	PATH_17_148059	M4	ZBUF_477_1621	{50.0680 860.2280} {50.1240 869.1000}
50.0	PATH_11_507	VSS	867.704	{49.75 867.454} {50.25 867.954}	shape	PATH_15_371782	M3	n140366	{48.7000 867.8280} {52.8600 867.8840}
50.0	PATH_11_507	VSS	867.704	{49.75 867.454} {50.25 867.954}	shape	PATH_13_453096	M2	n76568	{49.9160 866.9160} {49.9720 868.1880}
50.0	PATH_11_507	VSS	867.704	{49.75 867.454} {50.25 867.954}	shape	PATH_15_606641	M3	ZBUF_179_2956	{49.1560 867.5240} {53.7720 867.5800}
50.0	PATH_11_507	VSS	867.704	{49.75 867.454} {50.25 867.954}	shape	PATH_13_736287	M2	n138887	{49.7640 862.9640} {49.8200 869.7080}
50.0	PATH_11_531	VSS	907.832	{49.75 907.582} {50.25 908.082}	shape	PATH_21_1192	M6	n52408	{49.7640 875.4280} {49.8200 924.1240}
50.0	PATH_11_531	VSS	907.832	{49.75 907.582} {50.25 908.082}	shape	PATH_19_2111	M5	n24343	{45.2040 907.6520} {58.9400 907.7080}
50.0	PATH_11_531	VSS	907.832	{49.75 907.582} {50.25 908.082}	shape	PATH_17_7104	M4	n25249	{50.0680 907.6520} {50.1240 913.1800}
50.0	PATH_11_531	VSS	907.832	{49.75 907.582} {50.25 908.082}	shape	PATH_15_130381	M3	n25249	{47.1800 907.6520} {50.1240 907.7080}
50.0	PATH_11_531	VSS	907.832	{49.75 907.582} {50.25 908.082}	shape	PATH_13_292629	M2	n24308	{49.9160 907.3480} {49.9720 908.0120}
50.0	PATH_11_531	VSS	907.832	{49.75 907.582} {50.25 908.082}	shape	PATH_13_292631	M2	n24308	{50.0680 907.9560} {50.1240 908.7720}
50.0	PATH_11_531	VSS	907.832	{49.75 907.582} {50.25 908.082}	shape	PATH_13_752349	M2	n139997	{49.7640 905.3720} {49.8200 908.6200}
50.0	PATH_11_555	VSS	947.96	{49.75 947.71} {50.25 948.21}	shape	PATH_19_5778	M5	n59450	{44.2920 947.7800} {58.6360 947.8360}
50.0	PATH_11_555	VSS	947.96	{49.75 947.71} {50.25 948.21}	shape	PATH_21_6576	M6	n137636	{49.7640 940.4840} {49.8200 949.6600}
50.0	PATH_11_555	VSS	947.96	{49.75 947.71} {50.25 948.21}	shape	PATH_17_15930	M4	n59458	{49.7640 935.9240} {49.8200 957.8680}
50.0	PATH_11_555	VSS	947.96	{49.75 947.71} {50.25 948.21}	shape	PATH_17_143313	M4	ZBUF_71_1120	{50.0680 942.3080} {50.1240 971.5480}
