x	shape	net	y	bbox	object_class	object_type	object_name	object_layer	object_net	object_bbox
21.5	PATH_11_531	VSS	907.832	{21.25 907.582} {21.75 908.082}	signal	shape	PATH_19_26452	M5	n139352	{21.1880 907.6520} {22.7640 907.7080}
21.5	PATH_11_531	VSS	907.832	{21.25 907.582} {21.75 908.082}	signal	shape	PATH_17_148055	M4	ZBUF_477_1621	{21.4920 905.2200} {21.5480 908.3160}
21.5	PATH_11_531	VSS	907.832	{21.25 907.582} {21.75 908.082}	signal	shape	PATH_13_398828	M2	n58846	{21.3400 905.0680} {21.3960 917.1320}
21.5	PATH_11_531	VSS	907.832	{21.25 907.582} {21.75 908.082}	signal	shape	PATH_13_934671	M2	ZBUF_211_1084	{21.6440 900.9640} {21.7000 913.7880}
21.5	PATH_11_531	VSS	907.832	{21.25 907.582} {21.75 908.082}	signal	via	VIA_S_1191921	VIA34SQ_C	n139352	{21.1610 907.6250} {21.2710 907.7350}
21.5	PATH_11_531	VSS	907.832	{21.25 907.582} {21.75 908.082}	signal	via	VIA_S_1191922	VIA45SQ_C	n139352	{21.1610 907.6250} {21.2710 907.7350}
21.5	PATH_11_555	VSS	947.96	{21.25 947.71} {21.75 948.21}	pg	shape	PATH_23_57	M7	VSS	{10.0000 947.5000} {1199.3360 948.5000}
21.5	PATH_11_555	VSS	947.96	{21.25 947.71} {21.75 948.21}	signal	shape	PATH_13_398674	M2	n58797	{21.6440 939.5720} {21.7000 949.6600}
21.5	PATH_11_555	VSS	947.96	{21.25 947.71} {21.75 948.21}	signal	shape	PATH_13_400176	M2	n59266	{21.4920 945.9560} {21.5480 948.7480}
21.5	PATH_11_555	VSS	947.96	{21.25 947.71} {21.75 948.21}	signal	shape	PATH_13_400537	M2	n59369	{21.3400 945.0440} {21.3960 950.5720}
21.5	PATH_11_555	VSS	947.96	{21.25 947.71} {21.75 948.21}	signal	via	VIA_S_1206960	VIA12SQ_C	n139987	{21.1610 948.0570} {21.2710 948.1670}
21.5	PATH_11_555	VSS	947.96	{21.25 947.71} {21.75 948.21}	signal	via	VIA_S_1206961	VIA23SQ_C	n139987	{21.1610 948.0570} {21.2710 948.1670}
21.5	PATH_11_579	VSS	988.088	{21.25 987.838} {21.75 988.338}	pg	shape	PATH_23_59	M7	VSS	{10.0000 987.5000} {1199.3360 988.5000}
21.5	PATH_11_603	VSS	1028.216	{21.25 1027.966} {21.75 1028.466}	pg	shape	PATH_23_61	M7	VSS	{10.0000 1027.5000} {1199.3360 1028.5000}
21.5	PATH_11_627	VSS	1068.344	{21.25 1068.094} {21.75 1068.594}	pg	shape	PATH_23_63	M7	VSS	{10.0000 1067.5000} {1199.3360 1068.5000}
22.0	PATH_11_483	VSS	827.576	{21.75 827.326} {22.25 827.826}	pg	shape	PATH_23_51	M7	VSS	{10.0000 827.5000} {1199.3360 828.5000}
22.0	PATH_11_483	VSS	827.576	{21.75 827.326} {22.25 827.826}	signal	shape	PATH_15_360707	M3	n139080	{22.1000 827.3960} {22.7640 827.4520}
22.0	PATH_11_483	VSS	827.576	{21.75 827.326} {22.25 827.826}	signal	shape	PATH_13_368562	M2	n48858	{21.7960 826.7880} {21.8520 828.2120}
22.0	PATH_11_483	VSS	827.576	{21.75 827.326} {22.25 827.826}	signal	shape	PATH_13_738636	M2	n139080	{22.1000 827.3960} {22.1560 831.7080}
22.0	PATH_11_483	VSS	827.576	{21.75 827.326} {22.25 827.826}	signal	via	VIA_S_1517024	VIA12SQ_C	ZBUF_776_213	{22.2250 827.6730} {22.3350 827.7830}
22.0	PATH_11_507	VSS	867.704	{21.75 867.454} {22.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
22.0	PATH_11_507	VSS	867.704	{21.75 867.454} {22.25 867.954}	signal	shape	PATH_17_20954	M4	n76607	{21.7960 859.3160} {21.8520 877.3080}
22.0	PATH_11_507	VSS	867.704	{21.75 867.454} {22.25 867.954}	signal	shape	PATH_17_21076	M4	n76898	{22.1000 859.6200} {22.1560 875.1800}
22.0	PATH_11_507	VSS	867.704	{21.75 867.454} {22.25 867.954}	signal	shape	PATH_15_202996	M3	n76831	{20.7320 867.8280} {23.0680 867.8840}
22.0	PATH_11_507	VSS	867.704	{21.75 867.454} {22.25 867.954}	signal	shape	PATH_13_453117	M2	n76574	{21.9480 866.9160} {22.0040 868.1880}
22.0	PATH_11_507	VSS	867.704	{21.75 867.454} {22.25 867.954}	signal	shape	PATH_15_599541	M3	ZBUF_61_2921	{20.1240 867.5240} {22.6120 867.5800}
22.0	PATH_11_531	VSS	907.832	{21.75 907.582} {22.25 908.082}	pg	shape	PATH_23_55	M7	VSS	{10.0000 907.5000} {1199.3360 908.5000}
22.0	PATH_11_531	VSS	907.832	{21.75 907.582} {22.25 908.082}	signal	shape	PATH_19_26452	M5	n139352	{21.1880 907.6520} {22.7640 907.7080}
22.0	PATH_11_531	VSS	907.832	{21.75 907.582} {22.25 908.082}	signal	shape	PATH_17_149932	M4	ZBUF_184_1649	{21.7960 895.1880} {21.8520 910.4440}
22.0	PATH_11_531	VSS	907.832	{21.75 907.582} {22.25 908.082}	signal	via	VIA_S_1648810	VIA23SQ_C	ZBUF_972_1633	{22.2250 907.6250} {22.3350 907.7350}
22.0	PATH_11_555	VSS	947.96	{21.75 947.71} {22.25 948.21}	pg	shape	PATH_23_57	M7	VSS	{10.0000 947.5000} {1199.3360 948.5000}
22.0	PATH_11_555	VSS	947.96	{21.75 947.71} {22.25 948.21}	signal	shape	PATH_13_400180	M2	n59269	{21.9480 948.0840} {22.0040 949.2040}
22.0	PATH_11_555	VSS	947.96	{21.75 947.71} {22.25 948.21}	signal	shape	PATH_13_400182	M2	n59269	{21.7960 945.3480} {21.8520 948.1400}
22.0	PATH_11_579	VSS	988.088	{21.75 987.838} {22.25 988.338}	pg	shape	PATH_23_59	M7	VSS	{10.0000 987.5000} {1199.3360 988.5000}
22.0	PATH_11_603	VSS	1028.216	{21.75 1027.966} {22.25 1028.466}	pg	shape	PATH_23_61	M7	VSS	{10.0000 1027.5000} {1199.3360 1028.5000}
22.0	PATH_11_627	VSS	1068.344	{21.75 1068.094} {22.25 1068.594}	pg	shape	PATH_23_63	M7	VSS	{10.0000 1067.5000} {1199.3360 1068.5000}
22.5	PATH_11_483	VSS	827.576	{22.25 827.326} {22.75 827.826}	pg	shape	PATH_23_51	M7	VSS	{10.0000 827.5000} {1199.3360 828.5000}
22.5	PATH_11_483	VSS	827.576	{22.25 827.326} {22.75 827.826}	signal	shape	PATH_15_360707	M3	n139080	{22.1000 827.3960} {22.7640 827.4520}
22.5	PATH_11_483	VSS	827.576	{22.25 827.326} {22.75 827.826}	signal	shape	PATH_13_368556	M2	n48856	{22.5560 822.2280} {22.6120 827.9080}
22.5	PATH_11_483	VSS	827.576	{22.25 827.326} {22.75 827.826}	signal	shape	PATH_13_738637	M2	n139080	{22.7080 808.0920} {22.7640 827.4520}
22.5	PATH_11_483	VSS	827.576	{22.25 827.326} {22.75 827.826}	signal	shape	PATH_13_906802	M2	ZBUF_776_213	{22.2520 823.7480} {22.3080 827.7560}
22.5	PATH_11_483	VSS	827.576	{22.25 827.326} {22.75 827.826}	signal	shape	PATH_13_906804	M2	ZBUF_776_213	{22.4040 827.7000} {22.4600 828.3640}
22.5	PATH_11_483	VSS	827.576	{22.25 827.326} {22.75 827.826}	signal	via	VIA_S_559252	VIA12SQ_C	n48856	{22.5290 827.8250} {22.6390 827.9350}
22.5	PATH_11_483	VSS	827.576	{22.25 827.326} {22.75 827.826}	signal	via	VIA_S_1182098	VIA23SQ_C	n139080	{22.6810 827.3690} {22.7910 827.4790}
22.5	PATH_11_483	VSS	827.576	{22.25 827.326} {22.75 827.826}	signal	via	VIA_S_1182105	VIA12SQ_C	n139080	{22.6810 827.3690} {22.7910 827.4790}
22.5	PATH_11_483	VSS	827.576	{22.25 827.326} {22.75 827.826}	signal	via	VIA_S_1517024	VIA12SQ_C	ZBUF_776_213	{22.2250 827.6730} {22.3350 827.7830}
22.5	PATH_11_507	VSS	867.704	{22.25 867.454} {22.75 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
22.5	PATH_11_507	VSS	867.704	{22.25 867.454} {22.75 867.954}	signal	shape	PATH_17_20978	M4	n76703	{22.7080 863.8760} {22.7640 874.8760}
22.5	PATH_11_507	VSS	867.704	{22.25 867.454} {22.75 867.954}	signal	shape	PATH_17_21016	M4	n76803	{22.4040 855.0600} {22.4600 877.0040}
22.5	PATH_11_507	VSS	867.704	{22.25 867.454} {22.75 867.954}	signal	shape	PATH_15_202996	M3	n76831	{20.7320 867.8280} {23.0680 867.8840}
22.5	PATH_11_507	VSS	867.704	{22.25 867.454} {22.75 867.954}	signal	shape	PATH_15_599541	M3	ZBUF_61_2921	{20.1240 867.5240} {22.6120 867.5800}
22.5	PATH_11_507	VSS	867.704	{22.25 867.454} {22.75 867.954}	signal	shape	PATH_15_599543	M3	ZBUF_61_2921	{22.5560 867.5240} {23.3720 867.5800}
22.5	PATH_11_507	VSS	867.704	{22.25 867.454} {22.75 867.954}	signal	shape	PATH_13_1100485	M2	ZBUF_61_2921	{22.5560 867.5240} {22.6120 868.4920}
22.5	PATH_11_531	VSS	907.832	{22.25 907.582} {22.75 908.082}	pg	shape	PATH_23_55	M7	VSS	{10.0000 907.5000} {1199.3360 908.5000}
22.5	PATH_11_531	VSS	907.832	{22.25 907.582} {22.75 908.082}	signal	shape	PATH_19_26452	M5	n139352	{21.1880 907.6520} {22.7640 907.7080}
22.5	PATH_11_531	VSS	907.832	{22.25 907.582} {22.75 908.082}	signal	shape	PATH_19_26453	M5	n139352	{22.7080 907.6520} {35.2280 907.7080}
22.5	PATH_11_531	VSS	907.832	{22.25 907.582} {22.75 908.082}	signal	shape	PATH_17_55996	M4	n137969	{22.4040 898.5320} {22.4600 909.8360}
22.5	PATH_11_531	VSS	907.832	{22.25 907.582} {22.75 908.082}	signal	shape	PATH_17_61212	M4	n139352	{22.7080 898.8360} {22.7640 907.7080}
22.5	PATH_11_531	VSS	907.832	{22.25 907.582} {22.75 908.082}	signal	shape	PATH_13_398693	M2	n58805	{22.4040 907.6520} {22.4600 913.4840}
22.5	PATH_11_531	VSS	907.832	{22.25 907.582} {22.75 908.082}	signal	shape	PATH_15_522071	M3	ZBUF_972_1633	{22.2520 907.6520} {23.6760 907.7080}
22.5	PATH_11_531	VSS	907.832	{22.25 907.582} {22.75 908.082}	signal	shape	PATH_13_978033	M2	ZBUF_972_1633	{22.2520 907.6520} {22.3080 908.6200}
22.5	PATH_11_531	VSS	907.832	{22.25 907.582} {22.75 908.082}	signal	shape	PATH_13_978039	M2	ZBUF_972_1633	{22.2520 895.7960} {22.3080 907.7080}
22.5	PATH_11_531	VSS	907.832	{22.25 907.582} {22.75 908.082}	signal	via	VIA_S_1191928	VIA45SQ_C	n139352	{22.6810 907.6250} {22.7910 907.7350}
22.5	PATH_11_531	VSS	907.832	{22.25 907.582} {22.75 908.082}	signal	via	VIA_S_1648810	VIA23SQ_C	ZBUF_972_1633	{22.2250 907.6250} {22.3350 907.7350}
22.5	PATH_11_555	VSS	947.96	{22.25 947.71} {22.75 948.21}	pg	shape	PATH_23_57	M7	VSS	{10.0000 947.5000} {1199.3360 948.5000}
22.5	PATH_11_555	VSS	947.96	{22.25 947.71} {22.75 948.21}	signal	shape	PATH_17_54256	M4	n137636	{22.4040 912.2120} {22.4600 956.3480}
22.5	PATH_11_579	VSS	988.088	{22.25 987.838} {22.75 988.338}	pg	shape	PATH_23_59	M7	VSS	{10.0000 987.5000} {1199.3360 988.5000}
22.5	PATH_11_603	VSS	1028.216	{22.25 1027.966} {22.75 1028.466}	pg	shape	PATH_23_61	M7	VSS	{10.0000 1027.5000} {1199.3360 1028.5000}
22.5	PATH_11_627	VSS	1068.344	{22.25 1068.094} {22.75 1068.594}	pg	shape	PATH_23_63	M7	VSS	{10.0000 1067.5000} {1199.3360 1068.5000}
23.0	PATH_11_483	VSS	827.576	{22.75 827.326} {23.25 827.826}	pg	shape	PATH_23_51	M7	VSS	{10.0000 827.5000} {1199.3360 828.5000}
23.0	PATH_11_483	VSS	827.576	{22.75 827.326} {23.25 827.826}	signal	shape	PATH_21_12683	M6	ZBUF_2_935	{23.0120 617.0280} {23.0680 938.1080}
23.0	PATH_11_483	VSS	827.576	{22.75 827.326} {23.25 827.826}	signal	shape	PATH_15_360707	M3	n139080	{22.1000 827.3960} {22.7640 827.4520}
23.0	PATH_11_483	VSS	827.576	{22.75 827.326} {23.25 827.826}	signal	shape	PATH_13_368403	M2	n48818	{23.1640 827.0920} {23.2200 830.0360}
23.0	PATH_11_483	VSS	827.576	{22.75 827.326} {23.25 827.826}	signal	shape	PATH_13_368563	M2	n48859	{23.0120 823.7480} {23.0680 828.8200}
23.0	PATH_11_483	VSS	827.576	{22.75 827.326} {23.25 827.826}	signal	shape	PATH_13_738637	M2	n139080	{22.7080 808.0920} {22.7640 827.4520}
23.0	PATH_11_483	VSS	827.576	{22.75 827.326} {23.25 827.826}	signal	via	VIA_S_1182098	VIA23SQ_C	n139080	{22.6810 827.3690} {22.7910 827.4790}
