label	name	class	bbox	ref_name	lib_cell	origin	orientation	physical_status	layer	net	shape_use	via_def	extra
near_via	VIA_S_545578	via	{152.1850 921.3050} {152.2950 921.4150}			152.2400 921.3600	R0	unrestricted		n42178	detail_route	VIA34SQ_C	target_cell=U41697
near_via	VIA_S_545774	via	{143.0650 922.8250} {143.1750 922.9350}			143.1200 922.8800	R0	unrestricted		n42215	detail_route	VIA34SQ_C	target_cell=U41697
near_via	VIA_S_1952409	via	{143.0650 918.3960} {143.1750 918.5060}			143.1200 918.4510	R0	unrestricted		ZBUF_1399_3122	detail_route	VIA12SQ_C	target_cell=U41697
near_via	VIA_S_1952410	via	{143.0650 919.7850} {143.1750 919.8950}			143.1200 919.8400	R90	unrestricted		ZBUF_1399_3122	detail_route	VIA23SQ_C	target_cell=U41697
near_via	VIA_S_2227460	via	{152.1850 922.5210} {152.2950 922.6310}			152.2400 922.5760	R90	unrestricted		eco_net_551_n42054	detail_route	VIA23SQ_C	target_cell=U41697
near_via	VIA_S_2228318	via	{152.1850 920.6970} {152.2950 920.8070}			152.2400 920.7520	R90	unrestricted		eco_net_551_n42054	detail_route	VIA23SQ_C	target_cell=U41697
near_via	VIA_S_2281344	via	{152.1850 923.7370} {152.2950 923.8470}			152.2400 923.7920	R90	unrestricted		eco_net_818_ZBUF_540_1071	detail_route	VIA23SQ_C	target_cell=U41697
cell	U42518	cell	{254.8770 959.5630} {256.0190 961.3660}	NAND2X0_RVT	_sel2385	254.9920 961.3360	MX	placed					
cell_pin	U42518/A1	pin	{255.3930 960.2170} {255.5650 960.3270}					placed	M1 CO	n132677			cell=U42518
cell_pin	U42518/A2	pin	{255.2460 960.5210} {255.4180 960.6310}					placed	M1 CO	n143217			cell=U42518
cell_pin	U42518/Y	pin	{255.2710 959.7850} {255.6650 961.2300}					placed	M1 CO	n42695			cell=U42518
cell_pin	U42518/VDD	pin	{254.9920 959.6340} {255.9040 960.0510}					placed	M1 CO	VDD			cell=U42518
cell_pin	U42518/VSS	pin	{254.9920 960.9340} {255.9040 961.3660}					placed	M1 CO	VSS			cell=U42518
