x	shape	net	y	bbox	object_class	object_type	object_name	object_layer	object_net	object_bbox
20.4	PATH_11_627	VSS	1068.344	{20.3 1068.244} {20.5 1068.444}	pg	shape	PATH_23_63	M7	VSS	{10.0000 1067.5000} {1199.3360 1068.5000}
20.5	PATH_11_483	VSS	827.576	{20.4 827.476} {20.6 827.676}	pg	shape	PATH_23_51	M7	VSS	{10.0000 827.5000} {1199.3360 828.5000}
20.5	PATH_11_483	VSS	827.576	{20.4 827.476} {20.6 827.676}	signal	shape	PATH_13_367670	M2	n48570	{20.4280 820.7080} {20.4840 832.0120}
20.5	PATH_11_507	VSS	867.704	{20.4 867.604} {20.6 867.804}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
20.5	PATH_11_507	VSS	867.704	{20.4 867.604} {20.6 867.804}	signal	shape	PATH_17_140797	M4	ZBUF_146_1086	{20.5800 838.6440} {20.6360 874.2680}
20.5	PATH_11_507	VSS	867.704	{20.4 867.604} {20.6 867.804}	signal	shape	PATH_13_453417	M2	n76678	{20.4280 862.3560} {20.4840 869.1000}
20.5	PATH_11_507	VSS	867.704	{20.4 867.604} {20.6 867.804}	signal	shape	PATH_13_882733	M2	ZBUF_5587_92	{20.5800 867.6760} {20.6360 868.7960}
20.5	PATH_11_507	VSS	867.704	{20.4 867.604} {20.6 867.804}	signal	shape	PATH_13_882734	M2	ZBUF_5587_92	{20.5800 867.6760} {20.7880 867.7320}
20.5	PATH_11_531	VSS	907.832	{20.4 907.732} {20.6 907.932}	pg	shape	PATH_23_55	M7	VSS	{10.0000 907.5000} {1199.3360 908.5000}
20.5	PATH_11_531	VSS	907.832	{20.4 907.732} {20.6 907.932}	signal	shape	PATH_13_737593	M2	n138978	{20.5800 907.3480} {20.6360 911.3560}
20.5	PATH_11_555	VSS	947.96	{20.4 947.86} {20.6 948.06}	pg	shape	PATH_23_57	M7	VSS	{10.0000 947.5000} {1199.3360 948.5000}
20.5	PATH_11_579	VSS	988.088	{20.4 987.988} {20.6 988.188}	pg	shape	PATH_23_59	M7	VSS	{10.0000 987.5000} {1199.3360 988.5000}
20.5	PATH_11_603	VSS	1028.216	{20.4 1028.116} {20.6 1028.316}	pg	shape	PATH_23_61	M7	VSS	{10.0000 1027.5000} {1199.3360 1028.5000}
20.5	PATH_11_627	VSS	1068.344	{20.4 1068.244} {20.6 1068.444}	pg	shape	PATH_23_63	M7	VSS	{10.0000 1067.5000} {1199.3360 1068.5000}
