id	type_name	layers	bbox	objects	actual_spacing	required_spacing	required_width	brief_info	verbose_info	status
439	Diff net spacing	M1	{270.2640 794.6390} {270.4240 794.7220}	n69857						error
440	Diff net spacing	M1	{280.6000 787.9510} {280.7600 788.0340}	n55210						error
441	Needs fat contact	M1,M2	{301.0180 788.1530} {301.0780 788.2630}	ZBUF_287_2802						error
442	Diff net spacing	M1	{333.9520 793.5500} {334.1120 793.6330}	n78343						error
443	Needs fat contact	M1,M2	{468.2180 796.6650} {468.2780 796.7750}	n131571						error
444	Off-grid	VIA1	{565.3490 796.7710} {565.3990 796.9730}	n120197						error
445	Off-grid	M2	{565.3440 796.7410} {565.4040 797.0030}	n120197						error
446	Off-grid	M2	{45.1500 801.3260} {45.2600 801.5380}	n63089						error
447	Off-grid	VIA1	{45.1800 801.3310} {45.2300 801.5330}	n63089						error
448	Needs fat contact	M1,M2	{59.0340 803.3530} {59.0940 803.4630}	n63028						error
449	Needs fat contact	M1,M2	{61.6180 803.3530} {61.6780 803.4630}	n136463						error
450	Off-grid	M2	{69.1660 806.7980} {69.2760 807.0100}	n31475						error
451	Off-grid	VIA1	{69.1960 806.8030} {69.2460 807.0050}	n31475						error
452	Off-grid	VIA1	{82.4200 810.1470} {82.4700 810.3490}	n31420						error
453	Off-grid	M2	{82.3900 810.1420} {82.5000 810.3540}	n31420						error
454	Needs fat contact	M1,M2	{94.9060 804.8730} {94.9660 804.9830}	n136463						error
455	Needs fat contact	M1,M2	{147.1940 806.6970} {147.2540 806.8070}	ZBUF_111_2985						error
456	Diff net spacing	M1	{162.9520 806.9260} {163.1120 807.0090}	n132756						error
457	Diff net spacing	M1	{165.2320 811.3590} {165.3920 811.4420}	ZBUF_477_1023						error
458	Diff net spacing	M1	{174.2000 811.3590} {174.3600 811.4420}	HFSNET_1157						error
459	Diff net spacing	M1	{172.5280 811.3590} {172.6880 811.4420}	ZBUF_201_2802						error
460	Needs fat contact	M1,M2	{266.8180 804.8730} {266.8780 804.9830}	n69839						error
461	Needs fat contact	M1,M2	{311.3540 804.8730} {311.4140 804.9830}	n78518						error
462	Off-grid	M2	{310.2380 800.1100} {310.3480 800.3220}	n78411						error
463	Off-grid	VIA1	{310.2680 800.1150} {310.3180 800.3170}	n78411						error
464	Off-grid	M2	{318.0440 810.1170} {318.1040 810.3790}	n78353						error
465	Off-grid	VIA1	{318.0490 810.1470} {318.0990 810.3490}	n78353						error
466	Needs fat contact	M1,M2	{594.5300 804.8730} {594.5900 804.9830}	n120153						error
467	Off-grid	M1	{688.7450 811.5860} {688.8550 811.6460}	ZBUF_2312_71						error
468	Diff net spacing	M1	{81.3280 816.9580} {81.4880 817.0410}	n31431						error
469	Off-grid	M2	{177.8460 813.4860} {177.9560 813.6980}	n87699						error
470	Off-grid	VIA1	{177.8760 813.4910} {177.9260 813.6930}	n87699						error
471	Off-grid	M2	{265.3980 821.3900} {265.5080 821.6020}	n70128						error
472	Off-grid	VIA1	{265.4280 821.3950} {265.4780 821.5970}	n70128						error
473	Diff net spacing	M1	{381.3760 814.7030} {381.5360 814.7860}	n29037						error
474	Off-grid	M1	{498.5930 814.9300} {498.7030 814.9900}	ZBUF_1859_71						error
475	Off-grid	M1	{736.3210 818.2740} {736.4310 818.3340}	n30511						error
476	Diff net spacing	M1	{160.5200 824.7350} {160.6800 824.8180}	n132864						error
477	Diff net spacing	M1	{158.3920 834.7670} {158.5520 834.8500}	n132891						error
478	Diff net spacing	M1	{225.8800 826.9900} {226.0400 827.0730}	n69684						error
479	Diff net spacing	M1	{222.9920 826.9900} {223.1520 827.0730}	ZBUF_533_1017						error
480	Diff net spacing	M1	{230.1360 826.9900} {230.2960 827.0730}	n69653						error
481	Diff net spacing	M1	{276.9520 831.4230} {277.1120 831.5060}	n132676						error
482	Needs fat contact	M1,M2	{314.3940 831.6250} {314.4540 831.7350}	n54865						error
483	Diff net spacing	M1	{779.4390 834.3360} {779.5130 834.4960}	n130469,VSS						error
484	Diff net spacing	M2	{779.4940 834.3050} {779.6300 834.3750}	n130469,VSS						error
