target_nets	option_status	save_status	stage	total	open_nets	diff_net_spacing	less_than_min_area	needs_fat_contact	off_grid	same_net_spacing	short	connection_not_within_pin
ZBUF_832_2538 ZBUF_714_1050 ZBUF_851_152 n143522	extra_pin_tracks=true;connect_within_pins_error:Invalid value 'M1 via_standard_cell_pins' specified for option 'route.common.connect_within_pins_by_layer_name'	no_save	before	5	0	0	0	0	5	0	0	0
ZBUF_832_2538 ZBUF_714_1050 ZBUF_851_152 n143522	extra_pin_tracks=true;connect_within_pins_error:Invalid value 'M1 via_standard_cell_pins' specified for option 'route.common.connect_within_pins_by_layer_name'	no_save	after_remove	0	4	0	0	0	0	0	0	0
ZBUF_832_2538 ZBUF_714_1050 ZBUF_851_152 n143522	extra_pin_tracks=true;connect_within_pins_error:Invalid value 'M1 via_standard_cell_pins' specified for option 'route.common.connect_within_pins_by_layer_name'	no_save	after	4	0	0	0	0	4	0	0	0
