id	type_name	error_class	layers	bbox	center	objects	shape	brief_info	verbose_info	status
0	Off-grid	basic	M1	{294.9430 646.3670} {295.0670 646.4490}	295.0050,646.4080	n68003	{ polygons {{294.9430 646.3670} {294.9430 646.4490} {295.0670 646.4490} {295.0670 646.3670}} } 			error
1	Short	short	M2	{297.1640 957.1460} {297.3320 957.3180}	297.2480,957.2320	n87923,eco_net_832_ZBUF_1901_3000	{ polygons {{297.1640 957.1460} {297.1640 957.3180} {297.3320 957.3180} {297.3320 957.1460}} } 			error
2	Diff net spacing	basic	M2	{297.1130 957.1460} {297.1800 957.3180}	297.1465,957.2320	n87923,ZBUF_104_2917	{ polygons {{297.1130 957.1460} {297.1130 957.3180} {297.1800 957.3180} {297.1800 957.1460}} } 			error
