net	shape	bbox	x1	y1	x2	y2	width	height	direction	same_net_vias	cells
VDD	PATH_11_632	{20.0000 1076.6740} {1189.3360 1076.7340}	20.0000	1076.6740	1189.3360	1076.7340	1169.336	0.0599999999999	horizontal	29	414
VDD	PATH_11_630	{20.0000 1073.3300} {1189.3360 1073.3900}	20.0000	1073.3300	1189.3360	1073.3900	1169.336	0.0600000000002	horizontal	29	452
VDD	PATH_11_628	{20.0000 1069.9860} {1189.3360 1070.0460}	20.0000	1069.9860	1189.3360	1070.0460	1169.336	0.0599999999999	horizontal	29	462
VDD	PATH_11_626	{20.0000 1066.6420} {1189.3360 1066.7020}	20.0000	1066.6420	1189.3360	1066.7020	1169.336	0.0599999999999	horizontal	29	465
VDD	PATH_11_624	{20.0000 1063.2980} {1189.3360 1063.3580}	20.0000	1063.2980	1189.3360	1063.3580	1169.336	0.0599999999999	horizontal	29	446
VDD	PATH_11_622	{20.0000 1059.9540} {1189.3360 1060.0140}	20.0000	1059.9540	1189.3360	1060.0140	1169.336	0.0599999999999	horizontal	29	460
VDD	PATH_11_620	{20.0000 1056.6100} {1189.3360 1056.6700}	20.0000	1056.6100	1189.3360	1056.6700	1169.336	0.0600000000002	horizontal	29	497
VDD	PATH_11_618	{20.0000 1053.2660} {1189.3360 1053.3260}	20.0000	1053.2660	1189.3360	1053.3260	1169.336	0.0599999999999	horizontal	29	500
VDD	PATH_11_616	{20.0000 1049.9220} {1189.3360 1049.9820}	20.0000	1049.9220	1189.3360	1049.9820	1169.336	0.0599999999999	horizontal	29	509
VDD	PATH_11_614	{20.0000 1046.5780} {1189.3360 1046.6380}	20.0000	1046.5780	1189.3360	1046.6380	1169.336	0.0599999999999	horizontal	29	513
VDD	PATH_11_612	{20.0000 1043.2340} {1189.3360 1043.2940}	20.0000	1043.2340	1189.3360	1043.2940	1169.336	0.0600000000002	horizontal	29	501
VDD	PATH_11_610	{20.0000 1039.8900} {1189.3360 1039.9500}	20.0000	1039.8900	1189.3360	1039.9500	1169.336	0.0599999999999	horizontal	29	487
VDD	PATH_11_608	{20.0000 1036.5460} {1189.3360 1036.6060}	20.0000	1036.5460	1189.3360	1036.6060	1169.336	0.0599999999999	horizontal	29	501
VDD	PATH_11_606	{20.0000 1033.2020} {1189.3360 1033.2620}	20.0000	1033.2020	1189.3360	1033.2620	1169.336	0.0599999999999	horizontal	29	512
VDD	PATH_11_604	{20.0000 1029.8580} {1189.3360 1029.9180}	20.0000	1029.8580	1189.3360	1029.9180	1169.336	0.0599999999999	horizontal	29	531
VDD	PATH_11_602	{20.0000 1026.5140} {1189.3360 1026.5740}	20.0000	1026.5140	1189.3360	1026.5740	1169.336	0.0600000000002	horizontal	29	564
VDD	PATH_11_600	{20.0000 1023.1700} {1189.3360 1023.2300}	20.0000	1023.1700	1189.3360	1023.2300	1169.336	0.0600000000001	horizontal	29	573
VDD	PATH_11_598	{20.0000 1019.8260} {1189.3360 1019.8860}	20.0000	1019.8260	1189.3360	1019.8860	1169.336	0.0599999999999	horizontal	29	550
VDD	PATH_11_596	{20.0000 1016.4820} {1189.3360 1016.5420}	20.0000	1016.4820	1189.3360	1016.5420	1169.336	0.0600000000001	horizontal	29	527
VDD	PATH_11_594	{20.0000 1013.1380} {1189.3360 1013.1980}	20.0000	1013.1380	1189.3360	1013.1980	1169.336	0.0599999999999	horizontal	29	546
VDD	PATH_11_592	{20.0000 1009.7940} {1189.3360 1009.8540}	20.0000	1009.7940	1189.3360	1009.8540	1169.336	0.0600000000001	horizontal	29	554
VDD	PATH_11_590	{20.0000 1006.4500} {1189.3360 1006.5100}	20.0000	1006.4500	1189.3360	1006.5100	1169.336	0.0599999999999	horizontal	29	528
VDD	PATH_11_588	{20.0000 1003.1060} {1189.3360 1003.1660}	20.0000	1003.1060	1189.3360	1003.1660	1169.336	0.0600000000001	horizontal	29	578
VDD	PATH_11_586	{20.0000 999.7620} {1189.3360 999.8220}	20.0000	999.7620	1189.3360	999.8220	1169.336	0.0600000000001	horizontal	29	566
VDD	PATH_11_584	{20.0000 996.4180} {1189.3360 996.4780}	20.0000	996.4180	1189.3360	996.4780	1169.336	0.0599999999999	horizontal	29	578
VDD	PATH_11_582	{20.0000 993.0740} {1189.3360 993.1340}	20.0000	993.0740	1189.3360	993.1340	1169.336	0.0600000000001	horizontal	29	573
VDD	PATH_11_580	{20.0000 989.7300} {1189.3360 989.7900}	20.0000	989.7300	1189.3360	989.7900	1169.336	0.0599999999999	horizontal	29	602
VDD	PATH_11_578	{20.0000 986.3860} {1189.3360 986.4460}	20.0000	986.3860	1189.3360	986.4460	1169.336	0.0600000000001	horizontal	29	597
VDD	PATH_11_576	{20.0000 983.0420} {1189.3360 983.1020}	20.0000	983.0420	1189.3360	983.1020	1169.336	0.0599999999999	horizontal	29	620
VDD	PATH_11_574	{20.0000 979.6980} {1189.3360 979.7580}	20.0000	979.6980	1189.3360	979.7580	1169.336	0.0600000000001	horizontal	29	622
VDD	PATH_11_572	{20.0000 976.3540} {1189.3360 976.4140}	20.0000	976.3540	1189.3360	976.4140	1169.336	0.0599999999999	horizontal	29	584
VDD	PATH_11_570	{20.0000 973.0100} {1189.3360 973.0700}	20.0000	973.0100	1189.3360	973.0700	1169.336	0.0600000000001	horizontal	29	590
VDD	PATH_11_568	{20.0000 969.6660} {1189.3360 969.7260}	20.0000	969.6660	1189.3360	969.7260	1169.336	0.0599999999999	horizontal	29	590
VDD	PATH_11_566	{20.0000 966.3220} {1189.3360 966.3820}	20.0000	966.3220	1189.3360	966.3820	1169.336	0.0599999999999	horizontal	29	624
VDD	PATH_11_564	{20.0000 962.9780} {1189.3360 963.0380}	20.0000	962.9780	1189.3360	963.0380	1169.336	0.0600000000001	horizontal	29	631
VDD	PATH_11_562	{20.0000 959.6340} {1189.3360 959.6940}	20.0000	959.6340	1189.3360	959.6940	1169.336	0.0599999999999	horizontal	29	616
VDD	PATH_11_560	{20.0000 956.2900} {1189.3360 956.3500}	20.0000	956.2900	1189.3360	956.3500	1169.336	0.0600000000001	horizontal	29	591
VDD	PATH_11_558	{20.0000 952.9460} {1189.3360 953.0060}	20.0000	952.9460	1189.3360	953.0060	1169.336	0.0599999999999	horizontal	29	607
VDD	PATH_11_556	{20.0000 949.6020} {1189.3360 949.6620}	20.0000	949.6020	1189.3360	949.6620	1169.336	0.0600000000001	horizontal	29	596
VDD	PATH_11_554	{20.0000 946.2580} {1189.3360 946.3180}	20.0000	946.2580	1189.3360	946.3180	1169.336	0.0599999999999	horizontal	29	624
VDD	PATH_11_552	{20.0000 942.9140} {1189.3360 942.9740}	20.0000	942.9140	1189.3360	942.9740	1169.336	0.0600000000001	horizontal	29	598
VDD	PATH_11_550	{20.0000 939.5700} {1189.3360 939.6300}	20.0000	939.5700	1189.3360	939.6300	1169.336	0.0599999999999	horizontal	29	595
VDD	PATH_11_548	{20.0000 936.2260} {1189.3360 936.2860}	20.0000	936.2260	1189.3360	936.2860	1169.336	0.0599999999999	horizontal	29	611
VDD	PATH_11_546	{20.0000 932.8820} {1189.3360 932.9420}	20.0000	932.8820	1189.3360	932.9420	1169.336	0.0600000000001	horizontal	29	620
VDD	PATH_11_544	{20.0000 929.5380} {1189.3360 929.5980}	20.0000	929.5380	1189.3360	929.5980	1169.336	0.0599999999999	horizontal	29	615
VDD	PATH_11_542	{20.0000 926.1940} {1189.3360 926.2540}	20.0000	926.1940	1189.3360	926.2540	1169.336	0.0600000000001	horizontal	29	620
VDD	PATH_11_540	{20.0000 922.8500} {1189.3360 922.9100}	20.0000	922.8500	1189.3360	922.9100	1169.336	0.0599999999999	horizontal	29	606
VDD	PATH_11_538	{20.0000 919.5060} {1189.3360 919.5660}	20.0000	919.5060	1189.3360	919.5660	1169.336	0.0600000000001	horizontal	29	606
VDD	PATH_11_536	{20.0000 916.1620} {1189.3360 916.2220}	20.0000	916.1620	1189.3360	916.2220	1169.336	0.0599999999999	horizontal	29	591
VDD	PATH_11_534	{20.0000 912.8180} {1189.3360 912.8780}	20.0000	912.8180	1189.3360	912.8780	1169.336	0.0600000000001	horizontal	29	586
VDD	PATH_11_532	{20.0000 909.4740} {1189.3360 909.5340}	20.0000	909.4740	1189.3360	909.5340	1169.336	0.0599999999999	horizontal	29	557
VDD	PATH_11_530	{20.0000 906.1300} {1189.3360 906.1900}	20.0000	906.1300	1189.3360	906.1900	1169.336	0.0600000000001	horizontal	29	581
VDD	PATH_11_528	{20.0000 902.7860} {1189.3360 902.8460}	20.0000	902.7860	1189.3360	902.8460	1169.336	0.0600000000001	horizontal	29	598
VDD	PATH_11_526	{20.0000 899.4420} {1189.3360 899.5020}	20.0000	899.4420	1189.3360	899.5020	1169.336	0.0599999999999	horizontal	29	598
VDD	PATH_11_524	{20.0000 896.0980} {1189.3360 896.1580}	20.0000	896.0980	1189.3360	896.1580	1169.336	0.0600000000001	horizontal	29	600
VDD	PATH_11_522	{20.0000 892.7540} {1189.3360 892.8140}	20.0000	892.7540	1189.3360	892.8140	1169.336	0.0599999999999	horizontal	29	555
VDD	PATH_11_520	{20.0000 889.4100} {1189.3360 889.4700}	20.0000	889.4100	1189.3360	889.4700	1169.336	0.0600000000001	horizontal	29	587
VDD	PATH_11_518	{20.0000 886.0660} {1189.3360 886.1260}	20.0000	886.0660	1189.3360	886.1260	1169.336	0.0599999999999	horizontal	29	612
VDD	PATH_11_516	{20.0000 882.7220} {1189.3360 882.7820}	20.0000	882.7220	1189.3360	882.7820	1169.336	0.0600000000001	horizontal	29	620
VDD	PATH_11_514	{20.0000 879.3780} {1189.3360 879.4380}	20.0000	879.3780	1189.3360	879.4380	1169.336	0.0599999999999	horizontal	29	619
VDD	PATH_11_512	{20.0000 876.0340} {1189.3360 876.0940}	20.0000	876.0340	1189.3360	876.0940	1169.336	0.0600000000001	horizontal	29	624
VDD	PATH_11_510	{20.0000 872.6900} {1189.3360 872.7500}	20.0000	872.6900	1189.3360	872.7500	1169.336	0.0599999999999	horizontal	29	631
VDD	PATH_11_508	{20.0000 869.3460} {1189.3360 869.4060}	20.0000	869.3460	1189.3360	869.4060	1169.336	0.0599999999999	horizontal	29	626
VDD	PATH_11_506	{20.0000 866.0020} {1189.3360 866.0620}	20.0000	866.0020	1189.3360	866.0620	1169.336	0.0600000000001	horizontal	29	603
VDD	PATH_11_504	{20.0000 862.6580} {1189.3360 862.7180}	20.0000	862.6580	1189.3360	862.7180	1169.336	0.0599999999999	horizontal	29	596
VDD	PATH_11_502	{20.0000 859.3140} {1189.3360 859.3740}	20.0000	859.3140	1189.3360	859.3740	1169.336	0.0600000000001	horizontal	29	614
VDD	PATH_11_500	{20.0000 855.9700} {1189.3360 856.0300}	20.0000	855.9700	1189.3360	856.0300	1169.336	0.0599999999999	horizontal	29	624
VDD	PATH_11_498	{20.0000 852.6260} {1189.3360 852.6860}	20.0000	852.6260	1189.3360	852.6860	1169.336	0.0600000000001	horizontal	29	621
VDD	PATH_11_496	{20.0000 849.2820} {1189.3360 849.3420}	20.0000	849.2820	1189.3360	849.3420	1169.336	0.0599999999999	horizontal	29	624
VDD	PATH_11_494	{20.0000 845.9380} {1189.3360 845.9980}	20.0000	845.9380	1189.3360	845.9980	1169.336	0.0600000000001	horizontal	29	661
VDD	PATH_11_492	{20.0000 842.5940} {1189.3360 842.6540}	20.0000	842.5940	1189.3360	842.6540	1169.336	0.0599999999999	horizontal	29	625
VDD	PATH_11_490	{20.0000 839.2500} {1189.3360 839.3100}	20.0000	839.2500	1189.3360	839.3100	1169.336	0.0599999999999	horizontal	29	646
VDD	PATH_11_488	{20.0000 835.9060} {1189.3360 835.9660}	20.0000	835.9060	1189.3360	835.9660	1169.336	0.0600000000001	horizontal	29	648
VDD	PATH_11_486	{20.0000 832.5620} {1189.3360 832.6220}	20.0000	832.5620	1189.3360	832.6220	1169.336	0.0599999999999	horizontal	29	616
VDD	PATH_11_484	{20.0000 829.2180} {1189.3360 829.2780}	20.0000	829.2180	1189.3360	829.2780	1169.336	0.0600000000001	horizontal	29	632
VDD	PATH_11_482	{20.0000 825.8740} {1189.3360 825.9340}	20.0000	825.8740	1189.3360	825.9340	1169.336	0.0599999999999	horizontal	29	582
VDD	PATH_11_480	{20.0000 822.5300} {1189.3360 822.5900}	20.0000	822.5300	1189.3360	822.5900	1169.336	0.0600000000001	horizontal	29	615
VDD	PATH_11_478	{20.0000 819.1860} {1189.3360 819.2460}	20.0000	819.1860	1189.3360	819.2460	1169.336	0.0599999999999	horizontal	29	605
VDD	PATH_11_476	{20.0000 815.8420} {1189.3360 815.9020}	20.0000	815.8420	1189.3360	815.9020	1169.336	0.0600000000001	horizontal	29	576
VDD	PATH_11_474	{20.0000 812.4980} {1189.3360 812.5580}	20.0000	812.4980	1189.3360	812.5580	1169.336	0.0599999999999	horizontal	29	593
VDD	PATH_11_472	{20.0000 809.1540} {1189.3360 809.2140}	20.0000	809.1540	1189.3360	809.2140	1169.336	0.0600000000001	horizontal	29	605
VDD	PATH_11_470	{20.0000 805.8100} {1189.3360 805.8700}	20.0000	805.8100	1189.3360	805.8700	1169.336	0.0600000000001	horizontal	29	574
VDD	PATH_11_468	{20.0000 802.4660} {1189.3360 802.5260}	20.0000	802.4660	1189.3360	802.5260	1169.336	0.0599999999999	horizontal	29	603
VDD	PATH_11_466	{20.0000 799.1220} {1189.3360 799.1820}	20.0000	799.1220	1189.3360	799.1820	1169.336	0.0600000000001	horizontal	29	582
VDD	PATH_11_464	{20.0000 795.7780} {1189.3360 795.8380}	20.0000	795.7780	1189.3360	795.8380	1169.336	0.0599999999999	horizontal	29	653
VDD	PATH_11_462	{20.0000 792.4340} {1189.3360 792.4940}	20.0000	792.4340	1189.3360	792.4940	1169.336	0.0600000000001	horizontal	29	650
VDD	PATH_11_460	{20.0000 789.0900} {1189.3360 789.1500}	20.0000	789.0900	1189.3360	789.1500	1169.336	0.0599999999999	horizontal	29	637
VDD	PATH_11_458	{20.0000 785.7460} {1189.3360 785.8060}	20.0000	785.7460	1189.3360	785.8060	1169.336	0.0600000000001	horizontal	29	651
VDD	PATH_11_456	{20.0000 782.4020} {1189.3360 782.4620}	20.0000	782.4020	1189.3360	782.4620	1169.336	0.0599999999999	horizontal	29	657
VDD	PATH_11_454	{20.0000 779.0580} {1189.3360 779.1180}	20.0000	779.0580	1189.3360	779.1180	1169.336	0.0600000000001	horizontal	29	640
VDD	PATH_11_452	{20.0000 775.7140} {1189.3360 775.7740}	20.0000	775.7140	1189.3360	775.7740	1169.336	0.0599999999999	horizontal	29	635
VDD	PATH_11_450	{20.0000 772.3700} {1189.3360 772.4300}	20.0000	772.3700	1189.3360	772.4300	1169.336	0.0599999999999	horizontal	29	627
VDD	PATH_11_448	{20.0000 769.0260} {1189.3360 769.0860}	20.0000	769.0260	1189.3360	769.0860	1169.336	0.0600000000001	horizontal	29	588
VDD	PATH_11_446	{20.0000 765.6820} {1189.3360 765.7420}	20.0000	765.6820	1189.3360	765.7420	1169.336	0.0599999999999	horizontal	29	586
VDD	PATH_11_444	{20.0000 762.3380} {1189.3360 762.3980}	20.0000	762.3380	1189.3360	762.3980	1169.336	0.0600000000001	horizontal	29	575
VDD	PATH_11_442	{20.0000 758.9940} {1189.3360 759.0540}	20.0000	758.9940	1189.3360	759.0540	1169.336	0.0599999999999	horizontal	29	606
VDD	PATH_11_440	{20.0000 755.6500} {1189.3360 755.7100}	20.0000	755.6500	1189.3360	755.7100	1169.336	0.0600000000001	horizontal	29	616
VDD	PATH_11_438	{20.0000 752.3060} {1189.3360 752.3660}	20.0000	752.3060	1189.3360	752.3660	1169.336	0.0599999999999	horizontal	29	621
VDD	PATH_11_436	{20.0000 748.9620} {1189.3360 749.0220}	20.0000	748.9620	1189.3360	749.0220	1169.336	0.0600000000001	horizontal	29	616
VDD	PATH_11_434	{20.0000 745.6180} {1189.3360 745.6780}	20.0000	745.6180	1189.3360	745.6780	1169.336	0.0599999999999	horizontal	29	564
VDD	PATH_11_432	{20.0000 742.2740} {1189.3360 742.3340}	20.0000	742.2740	1189.3360	742.3340	1169.336	0.0599999999999	horizontal	29	578
VDD	PATH_11_430	{20.0000 738.9300} {1189.3360 738.9900}	20.0000	738.9300	1189.3360	738.9900	1169.336	0.0600000000001	horizontal	29	620
VDD	PATH_11_428	{20.0000 735.5860} {1189.3360 735.6460}	20.0000	735.5860	1189.3360	735.6460	1169.336	0.0599999999999	horizontal	29	609
VDD	PATH_11_426	{20.0000 732.2420} {1189.3360 732.3020}	20.0000	732.2420	1189.3360	732.3020	1169.336	0.0600000000001	horizontal	29	622
VDD	PATH_11_424	{20.0000 728.8980} {1189.3360 728.9580}	20.0000	728.8980	1189.3360	728.9580	1169.336	0.0599999999999	horizontal	29	689
VDD	PATH_11_422	{20.0000 725.5540} {1189.3360 725.6140}	20.0000	725.5540	1189.3360	725.6140	1169.336	0.0600000000001	horizontal	29	641
VDD	PATH_11_420	{20.0000 722.2100} {1189.3360 722.2700}	20.0000	722.2100	1189.3360	722.2700	1169.336	0.0599999999999	horizontal	29	662
VDD	PATH_11_418	{20.0000 718.8660} {1189.3360 718.9260}	20.0000	718.8660	1189.3360	718.9260	1169.336	0.0600000000001	horizontal	29	653
VDD	PATH_11_416	{20.0000 715.5220} {1189.3360 715.5820}	20.0000	715.5220	1189.3360	715.5820	1169.336	0.0599999999999	horizontal	29	684
VDD	PATH_11_414	{20.0000 712.1780} {1189.3360 712.2380}	20.0000	712.1780	1189.3360	712.2380	1169.336	0.0600000000001	horizontal	29	711
VDD	PATH_11_412	{20.0000 708.8340} {1189.3360 708.8940}	20.0000	708.8340	1189.3360	708.8940	1169.336	0.0600000000001	horizontal	29	690
VDD	PATH_11_410	{20.0000 705.4900} {1189.3360 705.5500}	20.0000	705.4900	1189.3360	705.5500	1169.336	0.0599999999999	horizontal	29	700
VDD	PATH_11_408	{20.0000 702.1460} {1189.3360 702.2060}	20.0000	702.1460	1189.3360	702.2060	1169.336	0.0600000000001	horizontal	29	697
VDD	PATH_11_406	{20.0000 698.8020} {1189.3360 698.8620}	20.0000	698.8020	1189.3360	698.8620	1169.336	0.0599999999999	horizontal	29	675
VDD	PATH_11_404	{20.0000 695.4580} {1189.3360 695.5180}	20.0000	695.4580	1189.3360	695.5180	1169.336	0.0600000000001	horizontal	29	656
VDD	PATH_11_402	{20.0000 692.1140} {1189.3360 692.1740}	20.0000	692.1140	1189.3360	692.1740	1169.336	0.0599999999999	horizontal	29	659
VDD	PATH_11_400	{20.0000 688.7700} {1189.3360 688.8300}	20.0000	688.7700	1189.3360	688.8300	1169.336	0.0600000000001	horizontal	29	684
VDD	PATH_11_398	{20.0000 685.4260} {1189.3360 685.4860}	20.0000	685.4260	1189.3360	685.4860	1169.336	0.0599999999999	horizontal	29	680
VDD	PATH_11_396	{20.0000 682.0820} {1189.3360 682.1420}	20.0000	682.0820	1189.3360	682.1420	1169.336	0.0600000000001	horizontal	29	660
VDD	PATH_11_394	{20.0000 678.7380} {1189.3360 678.7980}	20.0000	678.7380	1189.3360	678.7980	1169.336	0.0599999999999	horizontal	29	672
VDD	PATH_11_392	{20.0000 675.3940} {1189.3360 675.4540}	20.0000	675.3940	1189.3360	675.4540	1169.336	0.0599999999999	horizontal	29	638
VDD	PATH_11_390	{20.0000 672.0500} {1189.3360 672.1100}	20.0000	672.0500	1189.3360	672.1100	1169.336	0.0600000000001	horizontal	29	636
VDD	PATH_11_388	{20.0000 668.7060} {1189.3360 668.7660}	20.0000	668.7060	1189.3360	668.7660	1169.336	0.0599999999999	horizontal	29	584
VDD	PATH_11_386	{20.0000 665.3620} {1189.3360 665.4220}	20.0000	665.3620	1189.3360	665.4220	1169.336	0.0600000000001	horizontal	29	597
VDD	PATH_11_384	{20.0000 662.0180} {1189.3360 662.0780}	20.0000	662.0180	1189.3360	662.0780	1169.336	0.0599999999999	horizontal	29	605
VDD	PATH_11_382	{20.0000 658.6740} {1189.3360 658.7340}	20.0000	658.6740	1189.3360	658.7340	1169.336	0.0600000000001	horizontal	29	590
VDD	PATH_11_380	{20.0000 655.3300} {1189.3360 655.3900}	20.0000	655.3300	1189.3360	655.3900	1169.336	0.0599999999999	horizontal	29	595
VDD	PATH_11_378	{20.0000 651.9860} {1189.3360 652.0460}	20.0000	651.9860	1189.3360	652.0460	1169.336	0.0600000000001	horizontal	29	557
VDD	PATH_11_376	{20.0000 648.6420} {1189.3360 648.7020}	20.0000	648.6420	1189.3360	648.7020	1169.336	0.0599999999999	horizontal	29	541
VDD	PATH_11_374	{20.0000 645.2980} {1189.3360 645.3580}	20.0000	645.2980	1189.3360	645.3580	1169.336	0.0599999999999	horizontal	29	540
VDD	PATH_11_372	{20.0000 641.9540} {1189.3360 642.0140}	20.0000	641.9540	1189.3360	642.0140	1169.336	0.0600000000001	horizontal	29	585
VDD	PATH_11_370	{20.0000 638.6100} {1189.3360 638.6700}	20.0000	638.6100	1189.3360	638.6700	1169.336	0.0599999999999	horizontal	29	534
VDD	PATH_11_368	{20.0000 635.2660} {1189.3360 635.3260}	20.0000	635.2660	1189.3360	635.3260	1169.336	0.0600000000001	horizontal	29	501
