step	target_nets	save_status	total	open_nets	diff_net_spacing	less_than_min_area	needs_fat_contact	off_grid	same_net_spacing	short	connection_not_within_pin
initial	none	no_save	225	85	25	57	0	9	63	68	0
after_step1	@all_route_eco	no_save	0	0	0	0	0	0	0	0	0
final	all	saved	0	0	0	0	0	0	0	0	0
