step	target_nets	save_status	total	open_nets	diff_net_spacing	less_than_min_area	needs_fat_contact	off_grid	same_net_spacing	short	connection_not_within_pin
initial	none	no_save	11	0	2	0	0	0	0	7	0
after_step1	eco_net_24_eco_net_685_n23051	no_save	8	0	1	0	0	0	0	6	0
after_step2	eco_net_38_ZBUF_1533_3000	no_save	0	0	0	0	0	0	0	0	0
after_step3	ZBUF_1533_3000 n41768 n23186 n23133 n139239	no_save	0	0	0	0	0	0	0	0	0
final	all	saved	0	0	0	0	0	0	0	0	0
