x	shape	net	y	bbox	object_class	object_type	object_name	object_layer	object_net	object_bbox
130.0	PATH_11_483	VSS	827.576	{129.75 827.326} {130.25 827.826}	pg	shape	PATH_23_51	M7	VSS	{10.0000 827.5000} {1199.3360 828.5000}
130.0	PATH_11_483	VSS	827.576	{129.75 827.326} {130.25 827.826}	signal	shape	PATH_17_10694	M4	n40162	{130.0200 815.5400} {130.0760 884.6040}
130.0	PATH_11_483	VSS	827.576	{129.75 827.326} {130.25 827.826}	signal	shape	PATH_21_20355	M6	ZBUF_9_2770	{130.0200 761.1240} {130.0760 964.8600}
130.0	PATH_11_483	VSS	827.576	{129.75 827.326} {130.25 827.826}	signal	shape	PATH_19_85696	M5	ZBUF_416_2923	{128.1960 827.3960} {136.1560 827.4520}
130.0	PATH_11_483	VSS	827.576	{129.75 827.326} {130.25 827.826}	signal	shape	PATH_15_148089	M3	n38130	{121.6600 827.3960} {130.9880 827.4520}
130.0	PATH_11_483	VSS	827.576	{129.75 827.326} {130.25 827.826}	signal	shape	PATH_15_492598	M3	ZBUF_577_1077	{120.9000 827.7000} {130.0760 827.7560}
130.0	PATH_11_483	VSS	827.576	{129.75 827.326} {130.25 827.826}	signal	shape	PATH_15_492599	M3	ZBUF_577_1077	{130.0200 827.7000} {135.2440 827.7560}
130.0	PATH_11_483	VSS	827.576	{129.75 827.326} {130.25 827.826}	signal	shape	PATH_13_882437	M2	ZBUF_2569_92	{129.8680 827.0920} {129.9240 827.4520}
130.0	PATH_11_483	VSS	827.576	{129.75 827.326} {130.25 827.826}	signal	shape	PATH_13_929400	M2	ZBUF_1136_1064	{129.7160 805.5080} {129.7720 828.6680}
130.0	PATH_11_483	VSS	827.576	{129.75 827.326} {130.25 827.826}	signal	shape	PATH_13_931384	M2	ZBUF_577_1077	{129.8680 827.7000} {129.9240 828.5160}
130.0	PATH_11_507	VSS	867.704	{129.75 867.454} {130.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
130.0	PATH_11_507	VSS	867.704	{129.75 867.454} {130.25 867.954}	signal	shape	PATH_17_10694	M4	n40162	{130.0200 815.5400} {130.0760 884.6040}
130.0	PATH_11_507	VSS	867.704	{129.75 867.454} {130.25 867.954}	signal	shape	PATH_21_20355	M6	ZBUF_9_2770	{130.0200 761.1240} {130.0760 964.8600}
130.0	PATH_11_507	VSS	867.704	{129.75 867.454} {130.25 867.954}	signal	shape	PATH_17_166022	M4	ZBUF_5844_2751	{129.7160 866.0040} {129.7720 869.1000}
130.0	PATH_11_507	VSS	867.704	{129.75 867.454} {130.25 867.954}	signal	shape	PATH_15_517466	M3	ZBUF_2303_1605	{125.1560 867.8280} {131.9000 867.8840}
130.0	PATH_11_507	VSS	867.704	{129.75 867.454} {130.25 867.954}	signal	shape	PATH_15_563921	M3	ZBUF_216_2530	{124.5480 867.5240} {130.8360 867.5800}
130.0	PATH_11_531	VSS	907.832	{129.75 907.582} {130.25 908.082}	pg	shape	PATH_23_55	M7	VSS	{10.0000 907.5000} {1199.3360 908.5000}
130.0	PATH_11_531	VSS	907.832	{129.75 907.582} {130.25 908.082}	signal	shape	PATH_21_20355	M6	ZBUF_9_2770	{130.0200 761.1240} {130.0760 964.8600}
130.0	PATH_11_531	VSS	907.832	{129.75 907.582} {130.25 908.082}	signal	shape	PATH_19_90648	M5	ZBUF_267_3169	{125.4600 907.6520} {130.6840 907.7080}
130.0	PATH_11_531	VSS	907.832	{129.75 907.582} {130.25 908.082}	signal	shape	PATH_17_132053	M4	ZBUF_904_113	{129.7160 903.7000} {129.7720 908.3160}
130.0	PATH_11_531	VSS	907.832	{129.75 907.582} {130.25 908.082}	signal	shape	PATH_15_147187	M3	n37605	{126.9800 907.9560} {132.2040 908.0120}
130.0	PATH_11_531	VSS	907.832	{129.75 907.582} {130.25 908.082}	signal	shape	PATH_15_147460	M3	n37749	{129.2600 907.6520} {130.5320 907.7080}
130.0	PATH_11_531	VSS	907.832	{129.75 907.582} {130.25 908.082}	signal	shape	PATH_13_984394	M2	ZBUF_505_1650	{129.7160 907.0440} {129.7720 912.2680}
130.0	PATH_11_555	VSS	947.96	{129.75 947.71} {130.25 948.21}	pg	shape	PATH_23_57	M7	VSS	{10.0000 947.5000} {1199.3360 948.5000}
130.0	PATH_11_555	VSS	947.96	{129.75 947.71} {130.25 948.21}	signal	shape	PATH_19_3835	M5	n42039	{122.7240 947.7800} {130.9880 947.8360}
130.0	PATH_11_555	VSS	947.96	{129.75 947.71} {130.25 948.21}	signal	shape	PATH_21_20355	M6	ZBUF_9_2770	{130.0200 761.1240} {130.0760 964.8600}
130.0	PATH_11_555	VSS	947.96	{129.75 947.71} {130.25 948.21}	signal	shape	PATH_17_61846	M4	n139602	{129.7160 940.1800} {129.7720 948.1400}
130.0	PATH_11_555	VSS	947.96	{129.75 947.71} {130.25 948.21}	signal	shape	PATH_15_153948	M3	n42175	{129.1080 947.7800} {132.8120 947.8360}
130.0	PATH_11_555	VSS	947.96	{129.75 947.71} {130.25 948.21}	signal	shape	PATH_13_346184	M2	n41837	{129.8680 945.0440} {129.9240 950.4200}
130.0	PATH_11_555	VSS	947.96	{129.75 947.71} {130.25 948.21}	signal	shape	PATH_15_365650	M3	n139602	{129.7160 948.0840} {131.9000 948.1400}
130.0	PATH_11_555	VSS	947.96	{129.75 947.71} {130.25 948.21}	signal	shape	PATH_13_918521	M2	ZBUF_53_935	{130.0200 942.0040} {130.0760 953.6120}
