step	target_nets	save_status	total	open_nets	diff_net_spacing	less_than_min_area	needs_fat_contact	off_grid	same_net_spacing	short	connection_not_within_pin
initial	none	no_save	3	0	0	0	0	1	0	2	0
after_step1	u_input_fifo/fifo_buf[1015][7] u_input_fifo/n3339	no_save	0	0	0	0	0	0	0	0	0
after_step2	eco_net_682_u_input_fifo/n2310 eco_net_1102_u_input_fifo/n3334	no_save	0	0	0	0	0	0	0	0	0
final	all	saved	0	0	0	0	0	0	0	0	0
