id	type_name	error_class	layers	bbox	center	objects	shape	brief_info	verbose_info	status
0	Off-grid	basic	M1	{825.8490 272.2900} {825.9590 272.3500}	825.9040,272.3200	ZBUF_753_1116	{ polygons {{825.8490 272.2900} {825.8490 272.3500} {825.9590 272.3500} {825.9590 272.2900}} } 			error
1	Off-grid	basic	M1	{625.9690 1082.4500} {626.0790 1082.5100}	626.0240,1082.4800	n21538	{ polygons {{625.9690 1082.4500} {625.9690 1082.5100} {626.0790 1082.5100} {626.0790 1082.4500}} } 			error
