label	name	class	bbox	ref_name	lib_cell	origin	orientation	physical_status	layer	net	shape_use	via_def	extra
near_shape	PATH_15_167974	shape	{215.2920 976.6600} {230.2440 976.7160}					unrestricted	M3	n42343	detail_route		target_cell=U42174
near_shape	PATH_15_167983	shape	{215.4440 975.1400} {225.3800 975.1960}					unrestricted	M3	n42390	detail_route		target_cell=U42174
near_shape	PATH_15_168027	shape	{214.8360 974.8360} {226.2920 974.8920}					unrestricted	M3	n42414	detail_route		target_cell=U42174
near_shape	PATH_15_168029	shape	{209.0600 969.6680} {221.1240 969.7240}					unrestricted	M3	n42445	detail_route		target_cell=U42174
near_shape	PATH_17_168054	shape	{223.3480 979.3960} {223.4040 993.4360}					unrestricted	M4	ZBUF_792_2772	detail_route		target_cell=U42174
near_shape	PATH_15_168143	shape	{233.5320 971.4920} {244.9880 971.5480}					unrestricted	M3	n42507	detail_route		target_cell=U42174
near_shape	PATH_17_168343	shape	{222.7400 887.2840} {222.7960 1064.8760}					unrestricted	M4	ZBUF_17_3259	detail_route		target_cell=U42174
near_shape	PATH_17_170613	shape	{224.8680 954.7720} {224.9240 962.1240}					unrestricted	M4	ZBUF_1197_2766	detail_route		target_cell=U42174
near_shape	PATH_17_175058	shape	{234.5960 975.7480} {234.6520 1009.2440}					unrestricted	M4	ZBUF_63_2951	detail_route		target_cell=U42174
near_shape	PATH_17_177595	shape	{236.7240 950.2120} {236.7800 968.2040}					unrestricted	M4	ZBUF_1920_3001	detail_route		target_cell=U42174
near_shape	PATH_17_178738	shape	{220.6120 968.7560} {220.6680 980.3640}					unrestricted	M4	ZBUF_1989_3003	detail_route		target_cell=U42174
near_shape	PATH_17_183581	shape	{223.6520 977.2680} {223.7080 1004.3800}					unrestricted	M4	eco_net_88_n136548	detail_route		target_cell=U42174
near_shape	PATH_17_185700	shape	{222.4360 962.3720} {222.4920 984.6200}					unrestricted	M4	ZBUF_2140_3429	detail_route		target_cell=U42174
near_shape	PATH_17_186416	shape	{221.8280 979.3960} {221.8840 981.2760}					unrestricted	M4	ZBUF_5_3433	detail_route		target_cell=U42174
near_shape	PATH_17_187001	shape	{233.6840 958.1160} {233.7400 969.7240}					unrestricted	M4	ZBUF_2_3382	detail_route		target_cell=U42174
near_shape	PATH_17_194446	shape	{232.7720 961.4600} {232.8280 961.8200}					unrestricted	M4	ZBUF_32_3427	detail_route		target_cell=U42174
near_shape	PATH_17_194669	shape	{228.8200 940.7880} {228.8760 972.1560}					unrestricted	M4	ZBUF_1361_3428	detail_route		target_cell=U42174
near_shape	PATH_17_194755	shape	{225.1720 947.4760} {225.2280 968.5080}					unrestricted	M4	ZBUF_224_3429	detail_route		target_cell=U42174
near_shape	PATH_17_197243	shape	{229.1240 963.2840} {229.1800 999.5160}					unrestricted	M4	ZBUF_676_3447	detail_route		target_cell=U42174
near_shape	PATH_17_199549	shape	{235.2040 961.4600} {235.2600 961.8200}					unrestricted	M4	ZBUF_1569_3474	detail_route		target_cell=U42174
near_shape	PATH_17_204515	shape	{237.3320 977.8760} {237.3880 986.7480}					unrestricted	M4	eco_net_465_n138400	detail_route		target_cell=U42174
near_shape	PATH_17_211343	shape	{224.5640 965.7160} {224.6200 989.7880}					unrestricted	M4	eco_net_235_n135534	detail_route		target_cell=U42174
near_shape	PATH_17_213836	shape	{226.6920 979.3960} {226.7480 980.3640}					unrestricted	M4	eco_net_521_n132846	detail_route		target_cell=U42174
near_shape	PATH_17_214453	shape	{237.0280 976.0520} {237.0840 983.1000}					unrestricted	M4	eco_net_645_ZBUF_472_3372	detail_route		target_cell=U42174
near_shape	PATH_13_282464	shape	{233.5320 960.3960} {233.5880 962.2760}					unrestricted	M2	n20741	detail_route		target_cell=U42174
near_shape	PATH_15_284988	shape	{232.1640 978.4840} {238.7560 978.5400}					unrestricted	M3	n131421	detail_route		target_cell=U42174
near_shape	PATH_13_285693	shape	{237.6360 978.1800} {237.6920 979.4520}					unrestricted	M2	n20741	detail_route		target_cell=U42174
near_shape	PATH_15_301273	shape	{237.3320 976.0520} {238.3000 976.1080}					unrestricted	M3	n131498	detail_route		target_cell=U42174
near_shape	PATH_15_306080	shape	{204.5000 969.0600} {248.0280 969.1160}					unrestricted	M3	n132663	detail_route		target_cell=U42174
near_shape	PATH_13_332838	shape	{221.5240 958.7240} {221.5800 969.5720}					unrestricted	M2	n33957	detail_route		target_cell=U42174
near_shape	PATH_13_338727	shape	{223.0440 957.9640} {223.1000 965.1640}					unrestricted	M2	n42334	detail_route		target_cell=U42174
near_shape	PATH_13_338861	shape	{223.5000 961.4600} {223.5560 963.7960}					unrestricted	M2	n42354	detail_route		target_cell=U42174
near_shape	PATH_13_339167	shape	{223.3480 957.9640} {223.4040 964.2520}					unrestricted	M2	n42375	detail_route		target_cell=U42174
near_shape	PATH_13_339707	shape	{225.4760 960.2440} {225.5320 964.2520}					unrestricted	M2	n42504	detail_route		target_cell=U42174
near_shape	PATH_13_339710	shape	{228.8200 960.2440} {228.8760 966.8360}					unrestricted	M2	n42504	detail_route		target_cell=U42174
near_shape	PATH_13_339920	shape	{233.8360 942.0040} {233.8920 962.2760}					unrestricted	M2	n42515	detail_route		target_cell=U42174
near_shape	PATH_13_339978	shape	{232.4680 956.9000} {232.5240 961.8200}					unrestricted	M2	n42551	detail_route		target_cell=U42174
