id	type_name	error_class	layers	bbox	center	objects	brief_info	verbose_info	status
0	Diff net spacing	basic	M2	{20.0680 867.5930} {20.1360 867.8150}	20.1020,867.7040	ZBUF_61_2921,VSS			error
1	Diff net spacing	basic	M2	{20.0680 867.6180} {20.1610 867.7900}	20.1145,867.7040	ZBUF_61_2921,VSS			error
