via	net	bbox	via_def	tag
VIA_S_2146193	VSS	{19.9950 827.5210} {20.1050 827.6310}	VIA12SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146194	VSS	{19.9950 827.5210} {20.1050 827.6310}	VIA23SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146195	VSS	{19.9950 827.5210} {20.1050 827.6310}	VIA34SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146196	VSS	{19.9950 827.5210} {20.1050 827.6310}	VIA45SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146197	VSS	{19.9950 827.5210} {20.1050 827.6310}	VIA56SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146198	VSS	{19.9950 827.5210} {20.1050 827.6310}	VIA67SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146199	VSS	{19.9950 867.6490} {20.1050 867.7590}	VIA12SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146200	VSS	{19.9950 867.6490} {20.1050 867.7590}	VIA23SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146201	VSS	{19.9950 867.6490} {20.1050 867.7590}	VIA34SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146202	VSS	{19.9950 867.6490} {20.1050 867.7590}	VIA45SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146203	VSS	{19.9950 867.6490} {20.1050 867.7590}	VIA56SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146204	VSS	{19.9950 867.6490} {20.1050 867.7590}	VIA67SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146205	VSS	{19.9950 907.7770} {20.1050 907.8870}	VIA12SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146206	VSS	{19.9950 907.7770} {20.1050 907.8870}	VIA23SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146207	VSS	{19.9950 907.7770} {20.1050 907.8870}	VIA34SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146208	VSS	{19.9950 907.7770} {20.1050 907.8870}	VIA45SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146209	VSS	{19.9950 907.7770} {20.1050 907.8870}	VIA56SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146210	VSS	{19.9950 907.7770} {20.1050 907.8870}	VIA67SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146211	VSS	{19.9950 947.9050} {20.1050 948.0150}	VIA12SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146212	VSS	{19.9950 947.9050} {20.1050 948.0150}	VIA23SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146213	VSS	{19.9950 947.9050} {20.1050 948.0150}	VIA34SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146214	VSS	{19.9950 947.9050} {20.1050 948.0150}	VIA45SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146215	VSS	{19.9950 947.9050} {20.1050 948.0150}	VIA56SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146216	VSS	{19.9950 947.9050} {20.1050 948.0150}	VIA67SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146217	VSS	{19.9950 988.0330} {20.1050 988.1430}	VIA12SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146218	VSS	{19.9950 988.0330} {20.1050 988.1430}	VIA23SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146219	VSS	{19.9950 988.0330} {20.1050 988.1430}	VIA34SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146220	VSS	{19.9950 988.0330} {20.1050 988.1430}	VIA45SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146221	VSS	{19.9950 988.0330} {20.1050 988.1430}	VIA56SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146222	VSS	{19.9950 988.0330} {20.1050 988.1430}	VIA67SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146223	VSS	{19.9950 1028.1610} {20.1050 1028.2710}	VIA12SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146224	VSS	{19.9950 1028.1610} {20.1050 1028.2710}	VIA23SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146225	VSS	{19.9950 1028.1610} {20.1050 1028.2710}	VIA34SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146226	VSS	{19.9950 1028.1610} {20.1050 1028.2710}	VIA45SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146227	VSS	{19.9950 1028.1610} {20.1050 1028.2710}	VIA56SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146228	VSS	{19.9950 1028.1610} {20.1050 1028.2710}	VIA67SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146229	VSS	{19.9950 1068.2890} {20.1050 1068.3990}	VIA12SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146230	VSS	{19.9950 1068.2890} {20.1050 1068.3990}	VIA23SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146231	VSS	{19.9950 1068.2890} {20.1050 1068.3990}	VIA34SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146232	VSS	{19.9950 1068.2890} {20.1050 1068.3990}	VIA45SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146233	VSS	{19.9950 1068.2890} {20.1050 1068.3990}	VIA56SQ_C	pg_m1_m7_ladder_repair
VIA_S_2146234	VSS	{19.9950 1068.2890} {20.1050 1068.3990}	VIA67SQ_C	pg_m1_m7_ladder_repair
